date,spot,expiry,ce_strike,ce_entry_time,ce_entry_price,ce_exit_time,ce_exit_price,ce_pnl,pe_strike,pe_entry_time,pe_entry_price,pe_exit_time,pe_exit_price,pe_pnl,total_pnl
2025-04-21,23914.5,2025-04-24,24650,09:30:59,13.05,14:59:59,14.85,-117.0,23200,09:30:59,22.0,14:59:59,11.45,685.75,568.75
2025-04-23,24279.9,2025-04-24,25000,09:30:59,2.65,14:59:59,2.5,9.75,23550,09:30:59,4.25,14:59:59,7.55,-214.5,-204.75
2025-04-25,24535.2,2025-04-30,25250,09:30:59,6.75,14:59:59,2.95,247.0,23800,09:30:59,44.7,14:59:59,81.0,-2359.5,-2112.5
2025-04-28,24367.1,2025-04-30,25100,09:30:59,2.7,14:59:59,2.1,39.0,23650,09:30:59,27.2,14:59:59,17.0,663.0,702.0
2025-04-30,24535.0,2025-05-08,25250,09:30:59,11.2,14:59:59,8.7,162.5,23800,09:30:59,81.1,14:59:59,82.95,-120.25,42.25
2025-05-02,24739.0,2025-05-08,25500,09:30:59,3.3,14:59:59,2.7,39.0,24000,09:30:59,52.65,14:59:59,71.0,-1192.75,-1153.75
2025-05-05,24616.6,2025-05-08,25350,09:30:59,3.55,14:59:59,2.65,58.5,23900,09:30:59,29.5,14:59:59,22.15,477.75,536.25
2025-05-07,24604.0,2025-05-08,25350,09:30:59,1.25,14:59:59,1.25,0.0,23850,09:30:59,23.55,14:59:59,18.85,305.5,305.5
2025-05-09,24235.8,2025-05-15,24950,09:30:59,13.45,14:59:59,8.2,341.25,23500,09:30:59,136.8,14:59:59,119.0,1157.0,1498.25
2025-05-12,24755.3,2025-05-15,25500,09:30:59,2.95,14:59:59,36.35,-2171.0,24000,09:30:59,21.9,14:59:59,22.3,-26.0,-2197.0
2025-05-14,24861.1,2025-05-15,25600,09:30:59,2.15,14:59:59,1.3,55.25,24100,09:30:59,8.45,14:59:59,4.6,250.25,305.5
2025-05-16,25229.9,2025-05-22,26000,09:30:59,9.2,14:59:59,7.45,113.75,24450,09:30:59,39.6,14:59:59,33.45,399.75,513.5
2025-05-19,25197.3,2025-05-22,25950,09:30:59,6.4,14:59:59,4.35,133.25,24450,09:30:59,29.5,14:59:59,31.75,-146.25,-13.0
2025-05-21,24880.0,2025-05-22,25650,09:30:59,2.35,14:59:59,2.0,22.75,24150,09:30:59,6.85,14:59:59,3.65,208.0,230.75
2025-05-23,24822.1,2025-05-29,25550,09:30:59,12.25,14:59:59,20.45,-533.0,24100,09:30:59,33.0,14:59:59,26.35,432.25,-100.75
2025-05-26,25170.0,2025-05-29,25950,09:30:59,8.4,14:59:59,5.0,221.0,24400,09:30:59,30.8,14:59:59,32.7,-123.5,97.5
2025-05-28,24871.0,2025-05-29,25600,09:30:59,9.1,14:59:59,2.85,406.25,24100,09:30:59,10.2,14:59:59,3.6,429.0,835.25
2025-05-30,24958.0,2025-06-05,25700,09:30:59,16.9,14:59:59,9.85,458.25,24200,09:30:59,29.0,14:59:59,31.2,-143.0,315.25
2025-06-02,24657.9,2025-06-05,25400,09:30:59,15.2,14:59:59,27.45,-796.25,23900,09:30:59,19.4,14:59:59,13.9,357.5,-438.75
2025-06-04,24678.2,2025-06-05,25400,09:30:59,2.65,14:59:59,1.4,81.25,23950,09:30:59,3.25,14:59:59,1.6,107.25,188.5
2025-06-06,24815.8,2025-06-12,25550,09:30:59,9.4,14:59:59,22.15,-828.75,24050,09:30:59,17.25,14:59:59,7.75,617.5,-211.25
2025-06-09,25151.1,2025-06-12,25900,09:30:59,4.9,14:59:59,2.7,143.0,24400,09:30:59,13.7,14:59:59,8.6,331.5,474.5
2025-06-11,25197.7,2025-06-12,25950,09:30:59,1.05,14:59:59,1.0,3.25,24450,09:30:59,2.4,14:59:59,1.65,48.75,52.0
2025-06-13,24667.3,2025-06-19,25400,09:30:59,13.35,14:59:59,10.8,165.75,23950,09:30:59,37.0,14:59:59,33.3,240.5,406.25
2025-06-16,24822.0,2025-06-19,25550,09:30:59,4.75,14:59:59,6.75,-130.0,24100,09:30:59,17.75,14:59:59,15.05,175.5,45.5
2025-06-18,24931.8,2025-06-19,25700,09:30:59,1.2,14:59:59,1.15,3.25,24200,09:30:59,4.5,14:59:59,3.95,35.75,39.0
2025-06-20,24852.0,2025-06-26,25600,09:30:59,6.25,14:59:59,13.6,-477.75,24100,09:30:59,17.6,14:59:59,17.2,26.0,-451.75
2025-06-23,24914.6,2025-06-26,25650,09:30:59,4.35,14:59:59,4.5,-9.75,24150,09:30:59,15.45,14:59:59,11.6,250.25,240.5
2025-06-25,25180.9,2025-06-26,25950,09:30:59,1.4,14:59:59,1.0,26.0,24450,09:30:59,2.6,14:59:59,3.45,-55.25,-29.25
2025-06-27,25903.3,2025-07-03,26700,09:30:59,2.05,14:59:59,1.55,32.5,25150,09:30:59,50.9,14:59:59,24.55,1712.75,1745.25
2025-06-30,25994.4,2025-07-03,26750,09:30:59,1.4,14:59:59,1.85,-29.25,25200,09:30:59,25.65,14:59:59,36.55,-708.5,-737.75
2025-07-02,25920.2,2025-07-03,26700,09:30:59,0.75,14:59:59,0.65,6.5,25150,09:30:59,4.7,14:59:59,7.75,-198.25,-191.75
2025-07-04,25761.3,2025-07-10,26550,09:30:59,1.85,14:59:59,1.25,39.0,25000,09:30:59,28.4,14:59:59,20.9,487.5,526.5
2025-07-07,25781.0,2025-07-10,26550,09:30:59,1.2,14:59:59,1.15,3.25,25000,09:30:59,15.15,14:59:59,13.75,91.0,94.25
2025-07-09,25825.0,2025-07-10,26600,09:30:59,0.65,14:59:59,0.7,-3.25,25050,09:30:59,3.85,14:59:59,3.9,-3.25,-6.5
2025-07-11,25625.0,2025-07-17,26400,09:30:59,1.7,14:59:59,1.65,3.25,24850,09:30:59,17.0,14:59:59,26.9,-643.5,-640.25
2025-07-14,25397.1,2025-07-17,26150,09:30:59,1.9,14:59:59,1.75,9.75,24650,09:30:59,14.95,14:59:59,8.65,409.5,419.25
2025-07-16,25453.0,2025-07-17,26200,09:30:59,0.7,14:59:59,0.65,3.25,24700,09:30:59,2.25,14:59:59,2.0,16.25,19.5
2025-07-18,25395.6,2025-07-24,26150,09:30:59,1.65,14:59:59,1.7,-3.25,24650,09:30:59,17.45,14:59:59,26.5,-588.25,-591.5
2025-07-21,25205.0,2025-07-24,25950,09:30:59,2.05,14:59:59,1.6,29.25,24450,09:30:59,9.8,14:59:59,5.45,282.75,312.0
2025-07-23,25393.8,2025-07-24,26150,09:30:59,0.7,14:59:59,0.55,9.75,24650,09:30:59,1.95,14:59:59,1.75,13.0,22.75
2025-07-25,25265.0,2025-07-31,26000,09:30:59,2.4,14:59:59,2.55,-9.75,24500,09:30:59,16.25,14:59:59,25.35,-591.5,-601.25
2025-07-28,25075.6,2025-07-31,25850,09:30:59,2.05,14:59:59,2.4,-22.75,24300,09:30:59,8.85,14:59:59,13.45,-299.0,-321.75
2025-07-30,25099.5,2025-07-31,25850,09:30:59,0.9,14:59:59,1.0,-6.5,24350,09:30:59,3.05,14:59:59,2.6,29.25,22.75
2025-08-01,24753.0,2025-08-07,25500,09:30:59,5.35,14:59:59,4.25,71.5,24000,09:30:59,14.2,14:59:59,15.8,-104.0,-32.5
2025-08-04,24744.0,2025-08-07,25500,09:30:59,3.45,14:59:59,2.3,74.75,24000,09:30:59,9.35,14:59:59,6.8,165.75,240.5
2025-08-06,24721.1,2025-08-07,25450,09:30:59,0.95,14:59:59,0.9,3.25,24000,09:30:59,1.9,14:59:59,2.8,-58.5,-55.25
2025-08-08,24584.2,2025-08-14,25300,09:30:59,4.0,14:59:59,3.65,22.75,23850,09:30:59,10.65,14:59:59,11.8,-74.75,-52.0
2025-08-11,24456.0,2025-08-14,25200,09:30:59,3.35,14:59:59,2.85,32.5,23700,09:30:59,5.65,14:59:59,4.2,94.25,126.75
