entry,exit,train_days_total,train_days_traded,train_days_skipped,train_win_pct,train_net_pnl,train_gross_pnl,train_avg_per_day,train_best_day,train_worst_day,train_max_drawdown,train_sharpe_ann,test_days_total,test_days_traded,test_days_skipped,test_win_pct,test_net_pnl,test_gross_pnl,test_avg_per_day,test_best_day,test_worst_day,test_max_drawdown,test_sharpe_ann
09:30,13:30,106,52,54,40.4,-12218.0,8582.0,-235.0,2400.0,-3962.0,-19887.0,-3.05,45,17,28,47.1,-23102.0,-16302.0,-1359.0,7296.0,-9214.0,-31402.0,-5.73
09:30,14:00,106,52,54,44.2,-11645.0,9155.0,-224.0,2400.0,-3962.0,-20601.0,-2.85,45,17,28,47.1,-20575.0,-13775.0,-1210.0,7390.0,-10030.0,-28962.0,-4.68
09:30,14:30,106,52,54,38.5,-13179.0,7621.0,-253.0,2400.0,-3962.0,-21378.0,-3.18,45,17,28,52.9,-16690.0,-9890.0,-982.0,7624.0,-9035.0,-25567.0,-4.22
09:30,15:00,106,52,54,44.2,-13647.0,7153.0,-262.0,2400.0,-3962.0,-21349.0,-3.3,45,17,28,52.9,-14041.0,-7241.0,-826.0,7390.0,-9000.0,-22620.0,-3.83
10:00,13:30,106,52,54,36.5,-15962.0,4838.0,-307.0,1868.0,-3722.0,-20428.0,-4.52,45,17,28,41.2,-18027.0,-11227.0,-1060.0,6415.0,-7946.0,-24019.0,-4.9
10:00,14:00,106,52,54,30.8,-12053.0,8747.0,-232.0,3029.0,-3731.0,-19622.0,-3.16,45,17,28,52.9,-16711.0,-9911.0,-983.0,6510.0,-10624.0,-24389.0,-3.97
10:00,14:30,106,52,54,32.7,-13895.0,6905.0,-267.0,2769.0,-3738.0,-20636.0,-3.58,45,17,28,47.1,-11350.0,-4550.0,-668.0,6744.0,-6947.0,-20578.0,-3.2
10:00,15:00,106,52,54,34.6,-14081.0,6719.0,-271.0,2255.0,-3734.0,-21159.0,-3.65,45,17,28,41.2,-12819.0,-6019.0,-754.0,6510.0,-10030.0,-21674.0,-3.4
10:30,13:30,106,52,54,30.8,-8356.0,12444.0,-161.0,3467.0,-2064.0,-14002.0,-2.67,45,17,28,35.3,-18797.0,-11997.0,-1106.0,5034.0,-6695.0,-23018.0,-6.16
10:30,14:00,106,52,54,38.5,-3528.0,17272.0,-68.0,5881.0,-2483.0,-13833.0,-0.91,45,17,28,52.9,-16919.0,-10119.0,-995.0,5128.0,-9373.0,-22368.0,-4.68
10:30,14:30,106,52,54,40.4,-5288.0,15512.0,-102.0,6059.0,-2568.0,-15219.0,-1.32,45,17,28,35.3,-11862.0,-5062.0,-698.0,5362.0,-5853.0,-18715.0,-4.0
10:30,15:00,106,52,54,36.5,-1606.0,19194.0,-31.0,6180.0,-2636.0,-12602.0,-0.4,45,17,28,41.2,-13411.0,-6611.0,-789.0,5128.0,-9104.0,-19834.0,-4.07
11:00,13:30,106,52,54,28.8,-11651.0,9149.0,-224.0,2772.0,-1719.0,-14939.0,-4.99,45,17,28,23.5,-20606.0,-13806.0,-1212.0,4059.0,-6529.0,-23462.0,-7.58
11:00,14:00,106,52,54,34.6,-6723.0,14077.0,-129.0,5067.0,-2522.0,-13504.0,-2.06,45,17,28,41.2,-18698.0,-11898.0,-1100.0,4153.0,-9208.0,-22701.0,-5.67
11:00,14:30,106,52,54,28.8,-8617.0,12183.0,-166.0,4807.0,-2607.0,-14701.0,-2.66,45,17,28,41.2,-13661.0,-6861.0,-804.0,4387.0,-5688.0,-18976.0,-5.19
11:00,15:00,106,52,54,32.7,-7808.0,12992.0,-150.0,4293.0,-2675.0,-13992.0,-2.51,45,17,28,29.4,-15166.0,-8366.0,-892.0,4153.0,-7921.0,-20163.0,-5.21
11:30,13:30,106,52,54,15.4,-15158.0,5642.0,-292.0,2749.0,-1934.0,-18313.0,-6.42,45,17,28,17.6,-15838.0,-9038.0,-932.0,4049.0,-5548.0,-18551.0,-6.86
11:30,14:00,106,52,54,23.1,-10484.0,10316.0,-202.0,5044.0,-1924.0,-16363.0,-3.37,45,17,28,41.2,-13929.0,-7129.0,-819.0,4144.0,-8226.0,-17135.0,-4.84
11:30,14:30,106,52,54,19.2,-12831.0,7969.0,-247.0,4784.0,-1934.0,-18358.0,-4.1,45,17,28,35.3,-8872.0,-2072.0,-522.0,4378.0,-4706.0,-13482.0,-3.94
11:30,15:00,106,52,54,19.2,-11957.0,8843.0,-230.0,4270.0,-1914.0,-17347.0,-3.93,45,17,28,41.2,-10403.0,-3603.0,-612.0,4144.0,-5509.0,-14584.0,-4.39
