date,expiry,dte,distance_pct,spot,ce_strike,pe_strike,entry_time,ce_entry,pe_entry,exit_time,ce_exit,pe_exit,exit_reason,combined_entry,combined_exit,gross_pnl,net_pnl,dte_bucket,cum_net,cum_gross,variant
2025-04-21,2025-04-24,3,3.0,24145.7,24850,23400,2025-04-21 10:00:59+05:30,6.85,22.2,2025-04-21 10:04:59+05:30,7.0,19.9,PT,29.049999999999997,26.9,139.74999999999991,-260.2500000000001,3,-260.2500000000001,139.74999999999991,tgt_only
2025-04-23,2025-04-24,1,3.0,24550.0,25300,23800,2025-04-23 10:00:59+05:30,1.35,6.5,2025-04-23 15:14:59+05:30,2.05,9.4,time,7.85,11.45,-233.99999999999997,-634.0,1,-894.2500000000001,-94.25000000000006,tgt_only
2025-04-25,2025-04-30,5,3.0,24400.0,25150,23650,2025-04-25 10:00:59+05:30,6.0,76.25,2025-04-25 10:01:59+05:30,5.95,70.6,PT,82.25,76.55,370.50000000000017,-29.49999999999983,5+,-923.75,276.2500000000001,tgt_only
2025-04-28,2025-04-30,2,3.0,24570.0,25300,23850,2025-04-28 10:00:59+05:30,1.7,33.6,2025-04-28 10:04:59+05:30,1.7,31.55,PT,35.300000000000004,33.25,133.25000000000028,-266.7499999999997,2,-1190.4999999999998,409.5000000000004,tgt_only
2025-04-30,2025-05-08,8,3.0,24557.4,25300,23800,2025-04-30 10:00:59+05:30,9.35,75.75,2025-04-30 10:03:59+05:30,8.9,73.65,PT,85.1,82.55000000000001,165.7499999999989,-234.2500000000011,5+,-1424.750000000001,575.2499999999993,tgt_only
2025-05-02,2025-05-08,6,3.0,24810.4,25550,24050,2025-05-02 10:00:59+05:30,3.6,54.0,2025-05-02 10:13:59+05:30,3.45,51.2,PT,57.6,54.650000000000006,191.74999999999972,-208.25000000000028,5+,-1633.0000000000011,766.9999999999991,tgt_only
2025-05-05,2025-05-08,3,3.0,24692.8,25450,23950,2025-05-05 10:00:59+05:30,2.3,28.25,2025-05-05 10:20:59+05:30,2.0,25.9,PT,30.55,27.9,172.25000000000014,-227.74999999999986,3,-1860.750000000001,939.2499999999992,tgt_only
2025-05-07,2025-05-08,1,3.0,24454.1,25200,23700,2025-05-07 10:00:59+05:30,1.55,19.35,2025-05-07 10:24:59+05:30,1.55,17.0,PT,20.900000000000002,18.55,152.75000000000009,-247.24999999999991,1,-2108.000000000001,1091.9999999999993,tgt_only
2025-05-09,2025-05-15,6,3.0,24160.0,24900,23450,2025-05-09 10:00:59+05:30,13.15,129.35,2025-05-09 10:11:59+05:30,13.5,120.95,PT,142.5,134.45,523.2500000000007,123.25000000000068,5+,-1984.7500000000002,1615.25,tgt_only
2025-05-12,2025-05-15,3,3.0,25024.4,25800,24250,2025-05-12 10:00:59+05:30,3.05,40.15,2025-05-12 15:14:59+05:30,10.3,40.6,time,43.199999999999996,50.900000000000006,-500.5000000000006,-900.5000000000007,3,-2885.250000000001,1114.7499999999993,tgt_only
2025-05-14,2025-05-15,1,3.0,24782.9,25550,24050,2025-05-14 10:00:59+05:30,2.05,4.4,2025-05-14 15:14:59+05:30,1.4,4.35,time,6.45,5.75,45.500000000000014,-354.5,1,-3239.750000000001,1160.2499999999993,tgt_only
2025-05-16,2025-05-22,6,3.0,25169.0,25900,24400,2025-05-16 10:00:59+05:30,10.15,39.1,2025-05-16 10:02:59+05:30,10.55,35.55,PT,49.25,46.099999999999994,204.75000000000037,-195.24999999999963,5+,-3435.0000000000005,1364.9999999999998,tgt_only
2025-05-19,2025-05-22,3,3.0,25159.0,25900,24400,2025-05-19 10:00:59+05:30,6.2,25.6,2025-05-19 10:02:59+05:30,6.25,23.25,PT,31.8,29.5,149.50000000000006,-250.49999999999994,3,-3685.5000000000005,1514.4999999999998,tgt_only
2025-05-21,2025-05-22,1,3.0,25119.0,25850,24350,2025-05-21 10:00:59+05:30,1.5,13.2,2025-05-21 10:07:59+05:30,1.5,10.75,PT,14.7,12.25,159.24999999999994,-240.75000000000006,1,-3926.2500000000005,1673.7499999999998,tgt_only
