date,expiry,dow,distance_pct,ce_strike,pe_strike,spot,combined_entry,ce_entry,pe_entry,entry_hits_target_prem,mae_rs_per_share,mfe_rs_per_share,mae_breached_stop,same_day_exit,same_day_gross,same_day_net,overnight_exit,overnight_gross,overnight_net,expired_worthless,status
2025-04-23,2025-04-24,Wednesday,1.0,24800,24300,24550.0,79.15,5.5,73.65,1,129.85,25.8,1,62.65,1073.0,673.0,52.55,1729.0,1329.0,0,ok
2025-04-23,2025-04-24,Wednesday,1.5,24900,24200,24550.0,40.6,3.6,37.0,0,90.55,16.8,1,27.5,852.0,452.0,0.25,2623.0,2223.0,1,ok
2025-04-23,2025-04-24,Wednesday,2.0,25050,24050,24550.0,17.35,2.15,15.2,0,39.4,3.55,1,15.9,94.0,-306.0,0.15000000000000002,1118.0,718.0,1,ok
2025-04-23,2025-04-24,Wednesday,2.5,25150,23950,24550.0,11.9,1.75,10.15,0,22.25,0.35,1,13.65,-114.0,-514.0,0.15000000000000002,764.0,364.0,1,ok
2025-04-23,2025-04-24,Wednesday,3.0,25300,23800,24550.0,7.85,1.35,6.5,0,11.05,0.0,0,11.45,-234.0,-634.0,0.1,504.0,104.0,1,ok
2025-04-23,2025-04-24,Wednesday,4.0,25550,23550,24550.0,5.1,1.1,4.0,0,4.9,0.1,0,8.2,-201.0,-602.0,0.15000000000000002,322.0,-78.0,1,ok
2025-04-23,2025-04-24,Wednesday,5.0,25800,23300,24550.0,3.65,0.9,2.75,0,3.0,0.15,0,5.3,-107.0,-507.0,0.1,231.0,-169.0,1,ok
2025-04-29,2025-04-30,Tuesday,1.0,24850,24350,24601.6,78.1,4.85,73.25,1,35.25,22.35,1,78.4,-19.0,-419.0,2.1999999999999997,4933.0,4533.0,0,ok
2025-04-29,2025-04-30,Tuesday,1.5,24950,24250,24601.6,44.4,3.4,41.0,0,20.05,17.6,1,36.3,527.0,127.0,0.25,2870.0,2470.0,1,ok
2025-04-29,2025-04-30,Tuesday,2.0,25100,24100,24601.6,22.15,2.15,20.0,0,9.75,7.55,0,17.9,276.0,-124.0,0.2,1427.0,1027.0,1,ok
2025-04-29,2025-04-30,Tuesday,2.5,25200,24000,24601.6,16.6,1.75,14.85,0,7.4,4.2,0,14.55,133.0,-267.0,0.2,1066.0,666.0,1,ok
2025-04-29,2025-04-30,Tuesday,3.0,25350,23850,24601.6,12.5,1.4,11.1,0,5.55,2.4,0,11.65,55.0,-345.0,0.1,806.0,406.0,1,ok
2025-04-29,2025-04-30,Tuesday,4.0,25600,23600,24601.6,8.8,1.05,7.75,0,3.9,1.15,0,8.45,23.0,-377.0,0.1,566.0,166.0,1,ok
2025-04-29,2025-04-30,Tuesday,5.0,25850,23350,24601.6,6.55,0.85,5.7,0,2.65,0.55,0,6.35,13.0,-387.0,0.1,419.0,19.0,1,ok
2025-05-07,2025-05-08,Wednesday,1.0,24700,24200,24454.1,50.95,7.95,43.0,0,11.2,21.3,0,41.55,611.0,211.0,0.55,3276.0,2876.0,1,ok
2025-05-07,2025-05-08,Wednesday,1.5,24800,24100,24454.1,38.55,4.85,33.7,0,8.1,15.8,0,33.25,345.0,-55.0,0.35,2483.0,2083.0,1,ok
2025-05-07,2025-05-08,Wednesday,2.0,24950,23950,24454.1,29.05,2.75,26.3,0,6.0,11.55,0,26.0,198.0,-202.0,0.3,1869.0,1469.0,1,ok
2025-05-07,2025-05-08,Wednesday,2.5,25050,23850,24454.1,25.05,2.15,22.9,0,5.25,9.65,0,22.8,146.0,-254.0,0.25,1612.0,1212.0,1,ok
2025-05-07,2025-05-08,Wednesday,3.0,25200,23700,24454.1,20.9,1.55,19.35,0,4.35,8.1,0,18.8,137.0,-263.0,0.2,1346.0,946.0,1,ok
2025-05-07,2025-05-08,Wednesday,4.0,25450,23500,24454.1,17.05,1.3,15.75,0,3.15,6.45,0,14.8,146.0,-254.0,0.15000000000000002,1099.0,699.0,1,ok
2025-05-07,2025-05-08,Wednesday,5.0,25700,23250,24454.1,13.8,1.1,12.7,0,1.85,5.75,0,10.95,185.0,-215.0,0.15000000000000002,887.0,487.0,1,ok
2025-05-14,2025-05-15,Wednesday,1.0,25050,24550,24782.9,67.05,19.2,47.85,0,74.55,12.95,1,68.95,-124.0,-524.0,15.4,3357.0,2957.0,0,ok
2025-05-14,2025-05-15,Wednesday,1.5,25150,24400,24782.9,31.75,10.95,20.8,0,37.65,7.25,1,29.3,159.0,-241.0,0.15000000000000002,2054.0,1654.0,1,ok
2025-05-14,2025-05-15,Wednesday,2.0,25300,24300,24782.9,17.55,4.9,12.65,0,23.1,4.1,1,16.4,75.0,-325.0,0.1,1134.0,734.0,1,ok
2025-05-14,2025-05-15,Wednesday,2.5,25400,24150,24782.9,9.65,3.25,6.4,0,8.85,3.2,0,7.95,111.0,-289.0,0.1,621.0,221.0,1,ok
2025-05-14,2025-05-15,Wednesday,3.0,25550,24050,24782.9,6.45,2.05,4.4,0,4.65,1.7,0,5.75,46.0,-354.0,0.15000000000000002,410.0,10.0,1,ok
2025-05-14,2025-05-15,Wednesday,4.0,25750,23800,24782.9,3.5,1.3,2.2,0,0.8,0.8,0,3.2,19.0,-380.0,0.1,221.0,-179.0,1,ok
2025-05-14,2025-05-15,Wednesday,5.0,26000,23550,24782.9,2.65,1.05,1.6,0,0.15,0.7,0,2.2,29.0,-371.0,0.1,166.0,-234.0,1,ok
2025-05-21,2025-05-22,Wednesday,1.0,25350,24850,25119.0,152.1,12.25,139.85,1,87.7,56.0,1,153.3,-78.0,-478.0,241.20000000000002,-5792.0,-6192.0,0,ok
2025-05-21,2025-05-22,Wednesday,1.5,25500,24750,25119.0,97.6,5.9,91.7,1,72.1,40.25,1,97.15,29.0,-371.0,140.55,-2792.0,-3192.0,0,ok
2025-05-21,2025-05-22,Wednesday,2.0,25600,24600,25119.0,49.15,3.55,45.6,0,47.05,19.4,1,46.5,172.0,-228.0,0.15000000000000002,3185.0,2785.0,1,ok
2025-05-21,2025-05-22,Wednesday,2.5,25750,24500,25119.0,29.6,1.95,27.65,0,31.35,11.45,1,26.4,208.0,-192.0,0.1,1917.0,1517.0,1,ok
2025-05-21,2025-05-22,Wednesday,3.0,25850,24350,25119.0,14.7,1.5,13.2,0,16.1,5.3,0,11.0,240.0,-160.0,0.15000000000000002,946.0,546.0,1,ok
2025-05-21,2025-05-22,Wednesday,4.0,26100,24100,25119.0,5.65,1.05,4.6,0,3.85,2.0,0,3.8,120.0,-280.0,0.15000000000000002,357.0,-43.0,1,ok
2025-05-21,2025-05-22,Wednesday,5.0,26350,23850,25119.0,3.05,0.95,2.1,0,0.45,1.1,0,2.05,65.0,-335.0,0.1,192.0,-208.0,1,ok
2025-05-28,2025-05-29,Wednesday,1.0,25050,24550,24794.5,127.4,69.6,57.8,1,9.75,67.75,0,69.2,3783.0,3383.0,0.1,8274.0,7874.0,1,ok
2025-05-28,2025-05-29,Wednesday,1.5,25150,24400,24794.5,74.55,48.25,26.3,0,5.55,44.15,0,35.3,2551.0,2151.0,0.2,4833.0,4433.0,1,ok
2025-05-28,2025-05-29,Wednesday,2.0,25300,24300,24794.5,41.3,25.9,15.4,0,4.35,26.2,0,18.25,1498.0,1098.0,0.1,2678.0,2278.0,1,ok
2025-05-28,2025-05-29,Wednesday,2.5,25400,24150,24794.5,23.25,16.45,6.8,0,4.65,14.8,0,9.55,890.0,490.0,0.2,1498.0,1098.0,1,ok
2025-05-28,2025-05-29,Wednesday,3.0,25550,24050,24794.5,12.55,8.1,4.45,0,2.1,7.4,0,6.05,423.0,23.0,0.2,803.0,403.0,1,ok
2025-05-28,2025-05-29,Wednesday,4.0,25800,23800,24794.5,4.55,2.7,1.85,0,0.35,2.05,0,3.0,101.0,-299.0,0.15000000000000002,286.0,-114.0,1,ok
2025-05-28,2025-05-29,Wednesday,5.0,26050,23550,24794.5,2.95,1.65,1.3,0,0.1,1.1,0,2.2,49.0,-351.0,0.15000000000000002,182.0,-218.0,1,ok
2025-06-04,2025-06-05,Wednesday,1.0,25150,24700,24925.0,183.25,6.95,176.3,1,1.75,61.35,0,141.75,2698.0,2298.0,0.2,11898.0,11498.0,1,ok
2025-06-04,2025-06-05,Wednesday,1.5,25300,24550,24925.0,81.7,3.65,78.05,1,1.25,37.75,0,54.35,1778.0,1378.0,0.15000000000000002,5301.0,4901.0,1,ok
2025-06-04,2025-06-05,Wednesday,2.0,25400,24450,24925.0,42.7,2.45,40.25,0,0.6,21.7,0,26.9,1027.0,627.0,0.1,2769.0,2369.0,1,ok
2025-06-04,2025-06-05,Wednesday,2.5,25550,24300,24925.0,17.25,1.7,15.55,0,0.2,8.65,0,10.3,452.0,52.0,0.1,1115.0,715.0,1,ok
2025-06-04,2025-06-05,Wednesday,3.0,25650,24200,24925.0,10.7,1.35,9.35,0,0.15,5.25,0,6.4,279.0,-121.0,0.1,689.0,289.0,1,ok
2025-06-04,2025-06-05,Wednesday,4.0,25900,23950,24925.0,3.8,0.9,2.9,0,0.1,1.6,0,2.65,75.0,-325.0,0.1,240.0,-160.0,1,ok
2025-06-04,2025-06-05,Wednesday,5.0,26150,23700,24925.0,1.9,0.8,1.1,0,0.1,0.65,0,1.8,7.0,-394.0,0.1,117.0,-283.0,1,ok
2025-06-11,2025-06-12,Wednesday,1.0,25700,25200,25449.8,109.05,1.9,107.15,1,20.75,37.85,1,108.15,59.0,-341.0,312.2,-13205.0,-13605.0,0,ok
2025-06-11,2025-06-12,Wednesday,1.5,25850,25050,25449.8,39.45,1.15,38.3,0,14.9,14.35,0,40.35,-59.0,-459.0,162.8,-8018.0,-8418.0,0,ok
2025-06-11,2025-06-12,Wednesday,2.0,25950,24950,25449.8,20.95,1.0,19.95,0,8.2,7.25,0,20.8,10.0,-390.0,62.199999999999996,-2681.0,-3081.0,0,ok
2025-06-11,2025-06-12,Wednesday,2.5,26100,24800,25449.8,9.8,0.85,8.95,0,2.85,3.1,0,9.3,32.0,-368.0,0.1,630.0,230.0,1,ok
