date,dow,distance_pct,ce_strike,pe_strike,spot,combined_entry,ce_entry,pe_entry,entry_hits_target_prem,mae_rs_per_share,mfe_rs_per_share,mae_breached_stop,same_day_exit,same_day_gross,same_day_net,expire_exit,expire_gross,expire_net,expired_worthless,status
2025-04-17,Thursday,1.0,23750,23300,23534.6,15.7,1.6,14.1,0,110.1,4.35,1,101.25,-5561.0,-5961.0,101.2,-5557.0,-5957.0,0,ok
2025-04-17,Thursday,1.5,23900,23200,23534.6,6.7,0.9,5.8,0,14.2,6.5,1,0.35,413.0,13.0,0.15,426.0,26.0,1,ok
2025-04-17,Thursday,2.0,24000,23050,23534.6,3.05,0.75,2.3,0,5.05,2.9,1,0.15,188.0,-212.0,0.15,188.0,-212.0,1,ok
2025-04-17,Thursday,2.5,24100,22950,23534.6,2.15,0.55,1.6,0,1.95,2.0,0,0.15,130.0,-270.0,0.15,130.0,-270.0,1,ok
2025-04-17,Thursday,3.0,24250,22850,23534.6,1.65,0.45,1.2,0,0.55,1.55,0,0.15,98.0,-302.0,0.1,101.0,-299.0,1,ok
2025-04-17,Thursday,4.0,24500,22600,23534.6,1.0,0.3,0.7,0,0.9,0.9,0,0.1,58.0,-342.0,0.1,58.0,-342.0,1,ok
2025-04-17,Thursday,5.0,24700,22350,23534.6,0.75,0.25,0.5,0,1.0,0.6,0,0.15,39.0,-361.0,0.1,42.0,-358.0,1,ok
2025-04-24,Thursday,1.0,24750,24300,24529.0,63.4,3.8,59.6,0,17.0,24.4,1,53.2,663.0,263.0,52.55,705.0,305.0,0,ok
2025-04-24,Thursday,1.5,24900,24150,24529.0,13.35,2.4,10.95,0,1.5,13.0,0,0.35,845.0,445.0,0.2,855.0,455.0,1,ok
2025-04-24,Thursday,2.0,25000,24050,24529.0,9.1,1.9,7.2,0,0.75,8.85,0,0.3,572.0,172.0,0.15,582.0,182.0,1,ok
2025-04-24,Thursday,2.5,25150,23900,24529.0,6.3,1.3,5.0,0,0.3,6.15,0,0.2,396.0,-4.0,0.1,403.0,3.0,1,ok
2025-04-24,Thursday,3.0,25250,23800,24529.0,5.2,1.05,4.15,0,0.3,5.1,0,0.1,332.0,-68.0,0.15,328.0,-72.0,1,ok
2025-04-24,Thursday,4.0,25500,23550,24529.0,3.35,0.9,2.45,0,0.3,3.2,0,0.15,208.0,-192.0,0.2,205.0,-195.0,1,ok
2025-04-24,Thursday,5.0,25750,23300,24529.0,2.25,0.8,1.45,0,0.8,2.05,0,0.2,133.0,-267.0,0.1,140.0,-260.0,1,ok
2025-05-08,Thursday,1.0,24700,24200,24453.6,5.9,2.2,3.7,0,11.7,5.3,1,0.7,338.0,-62.0,0.55,348.0,-52.0,1,ok
2025-05-08,Thursday,1.5,24800,24100,24453.6,4.9,1.85,3.05,0,6.45,4.4,1,0.55,283.0,-117.0,0.35,296.0,-104.0,1,ok
2025-05-08,Thursday,2.0,24950,23950,24453.6,4.15,1.7,2.45,0,6.3,3.75,1,0.4,244.0,-156.0,0.3,250.0,-150.0,1,ok
2025-05-08,Thursday,2.5,25050,23850,24453.6,3.65,1.5,2.15,0,5.0,3.35,1,0.35,214.0,-186.0,0.25,221.0,-179.0,1,ok
2025-05-08,Thursday,3.0,25200,23700,24453.6,3.15,1.35,1.8,0,7.05,2.9,1,0.25,189.0,-211.0,0.2,192.0,-208.0,1,ok
2025-05-08,Thursday,4.0,25450,23500,24453.6,2.55,1.15,1.4,0,4.3,2.4,1,0.2,153.0,-247.0,0.15,156.0,-244.0,1,ok
2025-05-08,Thursday,5.0,25700,23250,24453.6,2.1,0.95,1.15,0,2.05,1.95,1,0.15,127.0,-273.0,0.15,127.0,-273.0,1,ok
2025-05-15,Thursday,1.0,25000,24500,24748.8,76.5,3.35,73.15,0,64.45,59.3,1,65.45,718.0,318.0,65.1,741.0,341.0,0,ok
2025-05-15,Thursday,1.5,25100,24400,24748.8,36.5,1.6,34.9,0,29.25,36.15,1,0.35,2350.0,1950.0,0.2,2360.0,1960.0,1,ok
2025-05-15,Thursday,2.0,25250,24250,24748.8,9.5,0.8,8.7,0,4.45,9.3,1,0.25,601.0,201.0,0.2,604.0,204.0,1,ok
2025-05-15,Thursday,2.5,25350,24150,24748.8,3.8,0.7,3.1,0,2.05,3.6,1,0.25,231.0,-169.0,0.15,237.0,-163.0,1,ok
2025-05-15,Thursday,3.0,25500,24000,24748.8,1.85,0.6,1.25,0,0.8,1.7,0,0.2,107.0,-293.0,0.15,111.0,-290.0,1,ok
2025-05-15,Thursday,4.0,25750,23750,24748.8,0.95,0.45,0.5,0,0.55,0.8,0,0.2,49.0,-351.0,0.1,55.0,-345.0,1,ok
2025-05-15,Thursday,5.0,26000,23500,24748.8,0.8,0.4,0.4,0,0.75,0.65,0,0.25,36.0,-364.0,0.1,46.0,-354.0,1,ok
2025-05-22,Thursday,1.0,25150,24650,24915.0,92.2,5.1,87.1,1,111.2,68.6,1,46.55,2967.0,2567.0,40.5,3360.0,2960.0,0,ok
2025-05-22,Thursday,1.5,25300,24550,24915.0,31.6,2.55,29.05,0,74.8,31.25,1,0.5,2022.0,1622.0,0.1,2048.0,1648.0,1,ok
2025-05-22,Thursday,2.0,25400,24400,24915.0,9.1,1.9,7.2,0,5.55,8.95,1,0.15,582.0,182.0,0.15,582.0,182.0,1,ok
2025-05-22,Thursday,2.5,25550,24300,24915.0,5.3,1.4,3.9,0,2.0,5.15,1,0.15,335.0,-65.0,0.15,335.0,-65.0,1,ok
2025-05-22,Thursday,3.0,25650,24150,24915.0,3.15,1.2,1.95,0,0.5,3.0,0,0.15,195.0,-205.0,0.1,198.0,-202.0,1,ok
2025-05-22,Thursday,4.0,25900,23900,24915.0,2.0,1.05,0.95,0,0.95,1.85,0,0.2,117.0,-283.0,0.15,120.0,-280.0,1,ok
2025-05-22,Thursday,5.0,26150,23650,24915.0,1.65,0.9,0.75,0,0.8,1.55,0,0.15,98.0,-302.0,0.1,101.0,-299.0,1,ok
2025-05-29,Thursday,1.0,25300,24800,25051.0,47.45,3.3,44.15,0,114.4,46.8,1,1.0,3019.0,2619.0,0.2,3071.0,2671.0,1,ok
2025-05-29,Thursday,1.5,25450,24700,25051.0,21.1,1.9,19.2,0,55.3,20.9,1,0.2,1358.0,958.0,0.2,1358.0,958.0,1,ok
2025-05-29,Thursday,2.0,25550,24550,25051.0,8.7,1.55,7.15,0,8.35,8.5,1,0.25,549.0,149.0,0.2,553.0,153.0,1,ok
2025-05-29,Thursday,2.5,25700,24400,25051.0,4.05,1.15,2.9,0,2.8,3.8,1,0.25,247.0,-153.0,0.15,254.0,-146.0,1,ok
2025-05-29,Thursday,3.0,25800,24300,25051.0,3.0,1.05,1.95,0,0.9,2.75,0,0.25,179.0,-221.0,0.1,188.0,-212.0,1,ok
2025-05-29,Thursday,4.0,26050,24050,25051.0,1.8,0.85,0.95,0,0.65,1.65,0,0.25,101.0,-299.0,0.1,110.0,-290.0,1,ok
2025-05-29,Thursday,5.0,26300,23800,25051.0,1.45,0.8,0.65,0,0.55,1.3,0,0.2,81.0,-319.0,0.15,85.0,-316.0,1,ok
2025-06-05,Thursday,1.0,25100,24600,24846.3,11.3,1.55,9.75,0,8.85,11.2,1,0.15,725.0,325.0,0.1,728.0,328.0,1,ok
2025-06-05,Thursday,1.5,25200,24450,24846.3,4.5,0.85,3.65,0,2.2,4.4,1,0.1,286.0,-114.0,0.1,286.0,-114.0,1,ok
2025-06-05,Thursday,2.0,25350,24350,24846.3,2.75,0.5,2.25,0,0.15,2.65,0,0.1,172.0,-228.0,0.1,172.0,-228.0,1,ok
2025-06-05,Thursday,2.5,25450,24250,24846.3,2.0,0.4,1.6,0,0.1,1.9,0,0.15,120.0,-280.0,0.1,124.0,-276.0,1,ok
2025-06-05,Thursday,3.0,25600,24100,24846.3,1.5,0.35,1.15,0,0.1,1.4,0,0.15,88.0,-312.0,0.1,91.0,-309.0,1,ok
2025-06-05,Thursday,4.0,25850,23850,24846.3,1.0,0.3,0.7,0,0.05,0.9,0,0.1,58.0,-342.0,0.15,55.0,-345.0,1,ok
2025-06-05,Thursday,5.0,26100,23600,24846.3,0.65,0.2,0.45,0,0.1,0.55,0,0.15,32.0,-368.0,0.1,36.0,-364.0,1,ok
2025-06-12,Thursday,1.0,25400,24900,25144.0,19.05,3.85,15.2,0,83.5,15.7,1,9.15,644.0,244.0,12.45,429.0,29.0,0,ok
2025-06-12,Thursday,1.5,25500,24750,25144.0,6.15,2.1,4.05,0,9.85,6.0,1,0.2,387.0,-13.0,0.1,393.0,-7.0,1,ok
2025-06-12,Thursday,2.0,25650,24650,25144.0,2.7,1.05,1.65,0,2.9,2.55,1,0.2,162.0,-238.0,0.1,169.0,-231.0,1,ok
2025-06-12,Thursday,2.5,25750,24500,25144.0,1.4,0.75,0.65,0,1.0,1.3,0,0.1,84.0,-316.0,0.1,84.0,-316.0,1,ok
2025-06-12,Thursday,3.0,25900,24400,25144.0,1.05,0.6,0.45,0,0.6,0.95,0,0.15,58.0,-342.0,0.1,62.0,-338.0,1,ok
2025-06-12,Thursday,4.0,26150,24150,25144.0,0.75,0.45,0.3,0,0.7,0.65,0,0.1,42.0,-358.0,0.1,42.0,-358.0,1,ok
2025-06-12,Thursday,5.0,26400,23900,25144.0,0.6,0.35,0.25,0,0.6,0.5,0,0.15,29.0,-371.0,0.1,32.0,-368.0,1,ok
2025-06-19,Thursday,1.0,25350,24850,25076.2,36.05,1.15,34.9,0,30.45,24.05,1,50.95,-968.0,-1368.0,54.6,-1206.0,-1606.0,0,ok
2025-06-19,Thursday,1.5,25450,24700,25076.2,9.3,1.05,8.25,0,4.6,9.1,1,0.2,592.0,192.0,0.15,595.0,195.0,1,ok
2025-06-19,Thursday,2.0,25600,24550,25076.2,4.6,0.85,3.75,0,1.95,4.4,0,0.2,286.0,-114.0,0.2,286.0,-114.0,1,ok
2025-06-19,Thursday,2.5,25700,24450,25076.2,3.45,0.75,2.7,0,1.7,3.3,0,0.2,211.0,-189.0,0.15,215.0,-185.0,1,ok
2025-06-19,Thursday,3.0,25850,24300,25076.2,2.55,0.7,1.85,0,1.65,2.4,0,0.2,153.0,-247.0,0.15,156.0,-244.0,1,ok
2025-06-19,Thursday,4.0,26100,24050,25076.2,1.8,0.55,1.25,0,1.55,1.7,0,0.15,107.0,-293.0,0.1,110.0,-290.0,1,ok
2025-06-19,Thursday,5.0,26350,23800,25076.2,1.35,0.45,0.9,0,1.35,1.2,0,0.15,78.0,-322.0,0.15,78.0,-322.0,1,ok
2025-06-26,Thursday,1.0,25800,25250,25525.3,17.75,1.8,15.95,0,38.8,17.45,1,0.4,1128.0,728.0,0.25,1138.0,738.0,1,ok
2025-06-26,Thursday,1.5,25900,25150,25525.3,9.7,1.0,8.7,0,17.75,9.5,1,0.25,614.0,214.0,0.15,621.0,221.0,1,ok
2025-06-26,Thursday,2.0,26050,25000,25525.3,5.15,0.55,4.6,0,3.95,4.95,1,0.25,318.0,-82.0,0.1,328.0,-72.0,1,ok
2025-06-26,Thursday,2.5,26150,24900,25525.3,3.85,0.45,3.4,0,0.85,3.65,0,0.25,234.0,-166.0,0.15,240.0,-160.0,1,ok
2025-06-26,Thursday,3.0,26300,24750,25525.3,2.85,0.4,2.45,0,0.25,2.7,0,0.25,169.0,-231.0,0.1,179.0,-221.0,1,ok
2025-06-26,Thursday,4.0,26550,24500,25525.3,2.2,0.4,1.8,0,0.15,2.05,0,0.2,130.0,-270.0,0.1,136.0,-264.0,1,ok
2025-06-26,Thursday,5.0,26800,24250,25525.3,1.8,0.35,1.45,0,0.1,1.7,0,0.2,104.0,-296.0,0.1,110.0,-290.0,1,ok
2025-07-03,Thursday,1.0,26150,25650,25900.0,117.5,0.5,117.0,1,163.75,39.2,1,241.75,-8076.0,-8476.0,245.15,-8297.0,-8697.0,0,ok
2025-07-03,Thursday,1.5,26300,25500,25900.0,27.05,0.4,26.65,0,106.8,15.45,1,91.55,-4192.0,-4592.0,94.65,-4394.0,-4794.0,0,ok
2025-07-03,Thursday,2.0,26400,25400,25900.0,9.65,0.35,9.3,0,38.4,9.2,1,0.8,575.0,175.0,0.3,608.0,208.0,1,ok
