event,distance_pct,friction,stop,days,win_pct,pf_total_₹,pf_mean_₹,pf_median_₹,pf_best_₹,pf_worst_₹,pct_breach_₹7Kcap
E-1,2.0,₹40/lot (₹10/leg),no_stop,46,95.7,4327840.0,94083.0,40260.0,664730.0,-149655.0,4.3
E-1,2.0,₹40/lot (₹10/leg),with_stop,46,32.6,362480.0,7880.0,-9200.0,150095.0,-9200.0,67.4
E-1,2.0,₹100/lot (₹25/leg),no_stop,46,95.7,4176040.0,90783.0,36960.0,661430.0,-152955.0,4.3
E-1,2.0,₹100/lot (₹25/leg),with_stop,46,32.6,210680.0,4580.0,-12500.0,146795.0,-12500.0,67.4
E-1,2.0,₹200/lot (₹50/leg),no_stop,46,95.7,3923040.0,85283.0,31460.0,655930.0,-158455.0,4.3
E-1,2.0,₹200/lot (₹50/leg),with_stop,46,32.6,-42320.0,-920.0,-18000.0,141295.0,-18000.0,67.4
E-1,2.0,"₹400/lot (₹100/leg, placeholder)",no_stop,46,80.4,3417040.0,74283.0,20460.0,644930.0,-169455.0,6.5
E-1,2.0,"₹400/lot (₹100/leg, placeholder)",with_stop,46,21.7,-548320.0,-11920.0,-29000.0,130295.0,-29000.0,67.4
E-1,2.5,₹40/lot (₹10/leg),no_stop,46,100.0,3027750.0,65821.0,24090.0,532070.0,7645.0,0.0
E-1,2.5,₹40/lot (₹10/leg),with_stop,46,47.8,227615.0,4948.0,-9200.0,59125.0,-9200.0,52.2
E-1,2.5,₹100/lot (₹25/leg),no_stop,46,100.0,2875950.0,62521.0,20790.0,528770.0,4345.0,0.0
E-1,2.5,₹100/lot (₹25/leg),with_stop,46,47.8,75815.0,1648.0,-12500.0,55825.0,-12500.0,52.2
E-1,2.5,₹200/lot (₹50/leg),no_stop,46,95.7,2622950.0,57021.0,15290.0,523270.0,-1155.0,0.0
E-1,2.5,₹200/lot (₹50/leg),with_stop,46,45.7,-177185.0,-3852.0,-18000.0,50325.0,-18000.0,52.2
E-1,2.5,"₹400/lot (₹100/leg, placeholder)",no_stop,46,56.5,2116950.0,46021.0,4290.0,512270.0,-12155.0,21.7
E-1,2.5,"₹400/lot (₹100/leg, placeholder)",with_stop,46,17.4,-683185.0,-14852.0,-29000.0,39325.0,-29000.0,69.6
E-1,3.0,₹40/lot (₹10/leg),no_stop,46,100.0,2068990.0,44978.0,14795.0,387475.0,5830.0,0.0
E-1,3.0,₹40/lot (₹10/leg),with_stop,46,65.2,504220.0,10961.0,7810.0,260920.0,-9200.0,34.8
E-1,3.0,₹100/lot (₹25/leg),no_stop,46,100.0,1917190.0,41678.0,11495.0,384175.0,2530.0,0.0
E-1,3.0,₹100/lot (₹25/leg),with_stop,46,65.2,352420.0,7661.0,4510.0,257620.0,-12500.0,34.8
E-1,3.0,₹200/lot (₹50/leg),no_stop,46,78.3,1664190.0,36178.0,5995.0,378675.0,-2970.0,0.0
E-1,3.0,₹200/lot (₹50/leg),with_stop,46,45.7,99420.0,2161.0,-990.0,252120.0,-18000.0,34.8
E-1,3.0,"₹400/lot (₹100/leg, placeholder)",no_stop,46,41.3,1158190.0,25178.0,-5005.0,367675.0,-13970.0,43.5
E-1,3.0,"₹400/lot (₹100/leg, placeholder)",with_stop,46,13.0,-406580.0,-8839.0,-11990.0,241120.0,-29000.0,71.7
E-1,4.0,₹40/lot (₹10/leg),no_stop,46,100.0,1134430.0,24662.0,9240.0,243045.0,2640.0,0.0
E-1,4.0,₹40/lot (₹10/leg),with_stop,46,80.4,352085.0,7654.0,5858.0,123805.0,-9200.0,19.6
E-1,4.0,₹100/lot (₹25/leg),no_stop,46,97.8,982630.0,21362.0,5940.0,239745.0,-660.0,0.0
E-1,4.0,₹100/lot (₹25/leg),with_stop,46,78.3,200285.0,4354.0,2558.0,120505.0,-12500.0,19.6
E-1,4.0,₹200/lot (₹50/leg),no_stop,46,52.2,729630.0,15862.0,440.0,234245.0,-6160.0,0.0
E-1,4.0,₹200/lot (₹50/leg),with_stop,46,32.6,-52715.0,-1146.0,-2942.0,115005.0,-18000.0,19.6
E-1,4.0,"₹400/lot (₹100/leg, placeholder)",no_stop,46,21.7,223630.0,4862.0,-10560.0,223245.0,-17160.0,69.6
E-1,4.0,"₹400/lot (₹100/leg, placeholder)",with_stop,46,6.5,-558715.0,-12146.0,-13942.0,104005.0,-29000.0,89.1
E-1,5.0,₹40/lot (₹10/leg),no_stop,46,100.0,709280.0,15419.0,6022.0,139535.0,1760.0,0.0
E-1,5.0,₹40/lot (₹10/leg),with_stop,46,87.0,314290.0,6832.0,4620.0,68035.0,-9200.0,13.0
E-1,5.0,₹100/lot (₹25/leg),no_stop,46,82.6,557480.0,12119.0,2722.0,136235.0,-1540.0,0.0
E-1,5.0,₹100/lot (₹25/leg),with_stop,46,69.6,162490.0,3532.0,1320.0,64735.0,-12500.0,13.0
E-1,5.0,₹200/lot (₹50/leg),no_stop,46,26.1,304480.0,6619.0,-2778.0,130735.0,-7040.0,2.2
E-1,5.0,₹200/lot (₹50/leg),with_stop,46,13.0,-90510.0,-1968.0,-4180.0,59235.0,-18000.0,15.2
E-1,5.0,"₹400/lot (₹100/leg, placeholder)",no_stop,46,17.4,-201520.0,-4381.0,-13778.0,119735.0,-18040.0,78.3
E-1,5.0,"₹400/lot (₹100/leg, placeholder)",with_stop,46,8.7,-596510.0,-12968.0,-15180.0,48235.0,-29000.0,89.1
E-0,2.0,₹40/lot (₹10/leg),no_stop,48,97.9,1299100.0,27065.0,12815.0,164230.0,-42570.0,2.1
E-0,2.0,₹40/lot (₹10/leg),with_stop,48,60.4,410730.0,8557.0,5748.0,164230.0,-9200.0,39.6
E-0,2.0,₹100/lot (₹25/leg),no_stop,48,97.9,1140700.0,23765.0,9515.0,160930.0,-45870.0,2.1
E-0,2.0,₹100/lot (₹25/leg),with_stop,48,60.4,252330.0,5257.0,2448.0,160930.0,-12500.0,39.6
E-0,2.0,₹200/lot (₹50/leg),no_stop,48,64.6,876700.0,18265.0,4015.0,155430.0,-51370.0,2.1
E-0,2.0,₹200/lot (₹50/leg),with_stop,48,31.2,-11670.0,-243.0,-3052.0,155430.0,-18000.0,39.6
E-0,2.0,"₹400/lot (₹100/leg, placeholder)",no_stop,48,37.5,348700.0,7265.0,-6985.0,144430.0,-62370.0,50.0
E-0,2.0,"₹400/lot (₹100/leg, placeholder)",with_stop,48,14.6,-539670.0,-11243.0,-14052.0,144430.0,-29000.0,79.2
E-0,2.5,₹40/lot (₹10/leg),no_stop,48,100.0,588170.0,12254.0,8168.0,84315.0,2090.0,0.0
E-0,2.5,₹40/lot (₹10/leg),with_stop,48,79.2,288435.0,6009.0,5748.0,60170.0,-9200.0,20.8
E-0,2.5,₹100/lot (₹25/leg),no_stop,48,89.6,429770.0,8954.0,4868.0,81015.0,-1210.0,0.0
E-0,2.5,₹100/lot (₹25/leg),with_stop,48,68.8,130035.0,2709.0,2448.0,56870.0,-12500.0,20.8
E-0,2.5,₹200/lot (₹50/leg),no_stop,48,47.9,165770.0,3454.0,-632.0,75515.0,-6710.0,0.0
E-0,2.5,₹200/lot (₹50/leg),with_stop,48,27.1,-133965.0,-2791.0,-3052.0,51370.0,-18000.0,20.8
E-0,2.5,"₹400/lot (₹100/leg, placeholder)",no_stop,48,12.5,-362230.0,-7546.0,-11632.0,64515.0,-17710.0,75.0
E-0,2.5,"₹400/lot (₹100/leg, placeholder)",with_stop,48,8.3,-661965.0,-13791.0,-14052.0,40370.0,-29000.0,85.4
E-0,3.0,₹40/lot (₹10/leg),no_stop,48,100.0,327965.0,6833.0,4950.0,37510.0,1210.0,0.0
E-0,3.0,₹40/lot (₹10/leg),with_stop,48,93.8,247565.0,5158.0,4620.0,31020.0,-9200.0,6.2
E-0,3.0,₹100/lot (₹25/leg),no_stop,48,79.2,169565.0,3533.0,1650.0,34210.0,-2090.0,0.0
E-0,3.0,₹100/lot (₹25/leg),with_stop,48,72.9,89165.0,1858.0,1320.0,27720.0,-12500.0,6.2
E-0,3.0,₹200/lot (₹50/leg),no_stop,48,12.5,-94435.0,-1967.0,-3850.0,28710.0,-7590.0,6.2
E-0,3.0,₹200/lot (₹50/leg),with_stop,48,10.4,-174835.0,-3642.0,-4180.0,22220.0,-18000.0,12.5
E-0,3.0,"₹400/lot (₹100/leg, placeholder)",no_stop,48,4.2,-622435.0,-12967.0,-14850.0,17710.0,-18590.0,91.7
E-0,3.0,"₹400/lot (₹100/leg, placeholder)",with_stop,48,2.1,-702835.0,-14642.0,-15180.0,11220.0,-29000.0,93.8
E-0,4.0,₹40/lot (₹10/leg),no_stop,48,100.0,177760.0,3703.0,3355.0,17490.0,110.0,0.0
E-0,4.0,₹40/lot (₹10/leg),with_stop,48,97.9,162180.0,3379.0,3272.0,17490.0,-9200.0,2.1
E-0,4.0,₹100/lot (₹25/leg),no_stop,48,52.1,19360.0,403.0,55.0,14190.0,-3190.0,0.0
E-0,4.0,₹100/lot (₹25/leg),with_stop,48,50.0,3780.0,79.0,-28.0,14190.0,-12500.0,2.1
E-0,4.0,₹200/lot (₹50/leg),no_stop,48,4.2,-244640.0,-5097.0,-5445.0,8690.0,-8690.0,20.8
E-0,4.0,₹200/lot (₹50/leg),with_stop,48,4.2,-260220.0,-5421.0,-5528.0,8690.0,-18000.0,22.9
E-0,4.0,"₹400/lot (₹100/leg, placeholder)",no_stop,48,0.0,-772640.0,-16097.0,-16445.0,-2310.0,-19690.0,97.9
E-0,4.0,"₹400/lot (₹100/leg, placeholder)",with_stop,48,0.0,-788220.0,-16421.0,-16528.0,-2310.0,-29000.0,97.9
E-0,5.0,₹40/lot (₹10/leg),no_stop,48,91.7,110550.0,2303.0,2090.0,10285.0,-440.0,0.0
E-0,5.0,₹40/lot (₹10/leg),with_stop,48,89.6,96565.0,2012.0,2008.0,10285.0,-9200.0,2.1
E-0,5.0,₹100/lot (₹25/leg),no_stop,48,25.0,-47850.0,-997.0,-1210.0,6985.0,-3740.0,0.0
E-0,5.0,₹100/lot (₹25/leg),with_stop,48,22.9,-61835.0,-1288.0,-1292.0,6985.0,-12500.0,2.1
E-0,5.0,₹200/lot (₹50/leg),no_stop,48,2.1,-311850.0,-6497.0,-6710.0,1485.0,-9240.0,45.8
E-0,5.0,₹200/lot (₹50/leg),with_stop,48,2.1,-325835.0,-6788.0,-6792.0,1485.0,-18000.0,47.9
E-0,5.0,"₹400/lot (₹100/leg, placeholder)",no_stop,48,0.0,-839850.0,-17497.0,-17710.0,-9515.0,-20240.0,100.0
E-0,5.0,"₹400/lot (₹100/leg, placeholder)",with_stop,48,0.0,-853835.0,-17788.0,-17792.0,-9515.0,-29000.0,100.0
