dte,entry_time,exit_time,n,win_pct,median_rs_cr,p25,p75,mean_rs_cr,worst,best,pct_in_5to7K,pct_above_5K,pct_above_4K
1,09:30,11:00,52.0,63.5,16064.0,-33444.0,57992.0,7573.0,-147500.0,232926.0,1.9,59.6,59.6
1,09:30,12:00,52.0,69.2,33538.0,-20838.0,64016.0,21259.0,-200000.0,319574.0,1.9,65.4,67.3
1,09:30,13:00,52.0,67.3,51968.0,-31529.0,82646.0,25227.0,-290319.0,313351.0,1.9,67.3,67.3
1,09:30,15:25,52.0,67.3,66808.0,-43058.0,114641.0,29741.0,-589043.0,469734.0,0.0,65.4,65.4
1,10:00,11:00,52.0,50.0,266.0,-25146.0,27034.0,-4623.0,-173670.0,79734.0,1.9,44.2,46.2
1,10:00,12:00,52.0,57.7,22288.0,-33365.0,38484.0,4366.0,-165532.0,145957.0,0.0,55.8,55.8
1,10:00,13:00,52.0,67.3,31942.0,-22114.0,64495.0,8871.0,-280426.0,147074.0,0.0,65.4,65.4
1,10:00,15:25,52.0,63.5,60026.0,-45731.0,99880.0,14990.0,-434255.0,295319.0,0.0,61.5,61.5
1,10:30,11:00,52.0,51.9,1463.0,-20558.0,10160.0,-6777.0,-93883.0,50851.0,5.8,38.5,38.5
1,10:30,12:00,52.0,55.8,20292.0,-29534.0,29788.0,-2462.0,-196968.0,113564.0,1.9,55.8,55.8
1,10:30,13:00,52.0,61.5,26117.0,-20199.0,54641.0,3338.0,-287287.0,107340.0,0.0,61.5,61.5
1,10:30,15:25,52.0,59.6,50691.0,-46370.0,90146.0,2037.0,-455957.0,263723.0,0.0,57.7,59.6
2,09:30,11:00,51.0,60.8,12394.0,-27660.0,52766.0,3323.0,-223138.0,124574.0,0.0,58.8,58.8
2,09:30,12:00,51.0,68.6,22926.0,-13697.0,44708.0,7610.0,-250426.0,187926.0,0.0,64.7,64.7
2,09:30,13:00,51.0,72.5,38564.0,-23750.0,60106.0,1952.0,-369947.0,216649.0,0.0,68.6,68.6
2,09:30,15:25,51.0,58.8,38085.0,-51995.0,91702.0,5197.0,-410798.0,403989.0,0.0,58.8,58.8
2,10:00,11:00,51.0,58.8,9521.0,-15452.0,35532.0,-1098.0,-254574.0,126489.0,2.0,56.9,56.9
2,10:00,12:00,51.0,70.6,22287.0,-13058.0,52846.0,4562.0,-275479.0,131755.0,0.0,64.7,68.6
2,10:00,13:00,51.0,68.6,23723.0,-13777.0,53564.0,3989.0,-390372.0,131596.0,2.0,66.7,68.6
2,10:00,15:25,51.0,68.6,34096.0,-47048.0,97686.0,11946.0,-431223.0,346543.0,2.0,66.7,66.7
2,10:30,11:00,51.0,54.9,2819.0,-13378.0,17261.0,-666.0,-83830.0,91862.0,2.0,45.1,47.1
2,10:30,12:00,51.0,62.7,14149.0,-15851.0,33856.0,2175.0,-237500.0,107660.0,0.0,56.9,56.9
2,10:30,13:00,51.0,66.7,24043.0,-6117.0,45744.0,2084.0,-393245.0,105904.0,5.9,64.7,66.7
2,10:30,15:25,51.0,62.7,41277.0,-65000.0,77420.0,-1712.0,-434096.0,194149.0,0.0,60.8,60.8
3,09:30,11:00,48.0,50.0,1942.0,-57260.0,26516.0,-24847.0,-658298.0,120266.0,2.1,50.0,50.0
3,09:30,12:00,48.0,56.2,4974.0,-60611.0,37806.0,-30678.0,-853457.0,185213.0,2.1,50.0,50.0
3,09:30,13:00,48.0,54.2,9043.0,-79960.0,52806.0,-28491.0,-473511.0,211223.0,0.0,52.1,52.1
3,09:30,15:25,48.0,52.1,7367.0,-89535.0,70040.0,-39156.0,-714628.0,246170.0,2.1,52.1,52.1
3,10:00,11:00,48.0,60.4,7288.0,-32088.0,36530.0,-3118.0,-183723.0,95532.0,2.1,54.2,58.3
3,10:00,12:00,48.0,56.2,10399.0,-52473.0,46782.0,-9880.0,-288883.0,131436.0,0.0,54.2,54.2
3,10:00,13:00,48.0,52.1,18378.0,-39309.0,68604.0,-9106.0,-356702.0,220000.0,0.0,52.1,52.1
3,10:00,15:25,48.0,54.2,28272.0,-80758.0,96649.0,-13880.0,-689415.0,206755.0,0.0,54.2,54.2
3,10:30,11:00,48.0,47.9,-1410.0,-13258.0,13790.0,-455.0,-63883.0,52287.0,2.1,37.5,41.7
3,10:30,12:00,48.0,64.6,8005.0,-25026.0,30505.0,-957.0,-200479.0,114202.0,0.0,52.1,52.1
3,10:30,13:00,48.0,62.5,16224.0,-19641.0,50133.0,-2460.0,-334362.0,162394.0,6.2,58.3,58.3
3,10:30,15:25,48.0,62.5,29708.0,-40026.0,60545.0,-10303.0,-534149.0,172926.0,0.0,62.5,62.5
4,09:30,11:00,42.0,47.6,-9788.0,-79601.0,28670.0,-36432.0,-332447.0,107819.0,0.0,45.2,45.2
4,09:30,12:00,42.0,54.8,2978.0,-88538.0,52487.0,-29468.0,-417819.0,148191.0,0.0,47.6,47.6
4,09:30,13:00,42.0,52.4,10638.0,-86662.0,63537.0,-22956.0,-432021.0,145319.0,0.0,52.4,52.4
4,09:30,15:25,42.0,50.0,-2128.0,-82114.0,68803.0,-18241.0,-509096.0,200851.0,0.0,47.6,47.6
4,10:00,11:00,42.0,45.2,-5718.0,-83072.0,22367.0,-30980.0,-218670.0,60904.0,2.4,42.9,42.9
4,10:00,12:00,42.0,50.0,4574.0,-65000.0,39800.0,-26147.0,-323191.0,92500.0,0.0,50.0,50.0
4,10:00,13:00,42.0,57.1,17340.0,-61410.0,51370.0,-23518.0,-472553.0,94096.0,0.0,54.8,57.1
4,10:00,15:25,42.0,50.0,6330.0,-88936.0,56596.0,-18461.0,-345532.0,146755.0,0.0,50.0,50.0
4,10:30,11:00,42.0,54.8,1064.0,-17367.0,13231.0,-11413.0,-159628.0,63298.0,7.1,42.9,45.2
4,10:30,12:00,42.0,69.0,18138.0,-39349.0,41157.0,-4882.0,-211649.0,94415.0,0.0,64.3,66.7
4,10:30,13:00,42.0,66.7,23404.0,-27021.0,57514.0,-984.0,-286968.0,120106.0,0.0,66.7,66.7
4,10:30,15:25,42.0,61.9,31862.0,-28896.0,58471.0,5767.0,-267979.0,164628.0,2.4,59.5,59.5
