dte,entry,exit,filter_set,n,win_pct,median,p25,worst,score
1,09:30,15:25,no filters,52,67.3076923076923,66808.5,-43058.5,-589043.0,4833.264423076923
1,09:30,15:25,gap+intraday only,44,65.9090909090909,63617.0,-43058.5,-589043.0,4522.484090909091
1,10:00,15:25,no filters,52,63.46153846153846,60026.5,-45731.0,-434255.0,4126.681730769231
1,10:00,15:25,all filters,30,63.33333333333333,58111.5,-40425.75,-434255.0,3997.0616666666665
1,10:00,15:25,vix+gap only,35,62.857142857142854,57234.0,-47207.5,-434255.0,3911.851428571428
1,09:30,13:00,vix+gap only,35,71.42857142857143,49255.0,-19202.0,-290319.0,3875.357142857143
1,10:00,15:25,gap+intraday only,44,61.36363636363637,58111.5,-45731.0,-434255.0,3872.7511363636368
1,09:30,13:00,no filters,52,67.3076923076923,51968.0,-31529.25,-290319.0,3834.3846153846157
1,09:30,13:00,all filters,31,70.96774193548387,48777.0,-19202.0,-244202.0,3816.432258064516
2,10:30,15:25,gap+intraday only,47,65.95744680851064,51170.0,-40186.0,-434096.0,3704.8297872340427
1,09:30,15:25,vix+gap only,35,65.71428571428571,51170.0,-52154.0,-589043.0,3691.1714285714284
1,09:30,13:00,gap+intraday only,44,68.18181818181817,49016.0,-24109.25,-290319.0,3682.9090909090905
2,09:30,15:25,vix+gap only,39,66.66666666666666,49255.0,-41861.5,-410798.0,3616.9999999999995
2,09:30,13:00,vix+gap only,39,76.92307692307693,40479.0,10159.5,-369947.0,3498.384615384616
2,09:30,15:25,gap+intraday only,47,63.829787234042556,49255.0,-41861.5,-410798.0,3463.085106382979
1,10:30,15:25,vix+gap only,35,60.0,50691.0,-51276.5,-455957.0,3341.46
1,10:30,15:25,no filters,52,59.61538461538461,50691.0,-46369.75,-455957.0,3320.0403846153845
2,09:30,13:00,gap+intraday only,47,74.46808510638297,38883.0,-9628.0,-369947.0,3267.882978723404
2,10:00,15:25,gap+intraday only,47,70.2127659574468,40160.0,-28298.0,-431223.0,3170.8085106382973
1,10:30,15:25,gap+intraday only,44,56.81818181818182,50691.0,-52912.5,-455957.0,3164.261363636364
2,09:30,13:00,no filters,51,72.54901960784314,38564.0,-23750.0,-369947.0,3160.5254901960784
3,10:30,15:25,gap+intraday only,34,73.52941176470588,36888.0,-4361.25,-534149.0,3080.0
3,10:30,15:25,vix+gap only,31,74.19354838709677,36170.0,-531.5,-534149.0,3054.5483870967737
3,10:30,15:25,all filters,22,72.72727272727273,36888.0,-4361.25,-534149.0,3046.4000000000005
1,10:00,13:00,all filters,30,70.0,37048.0,-10146.0,-128191.0,2943.36
2,10:30,15:25,all filters,22,72.72727272727273,35292.5,-18085.5,-434096.0,2930.3636363636365
2,10:30,15:25,no filters,51,62.745098039215684,41277.0,-65000.0,-434096.0,2903.654901960784
1,10:30,15:25,all filters,28,57.14285714285714,43909.5,-48005.25,-455957.0,2794.828571428571
2,09:30,13:00,all filters,24,70.83333333333334,34415.0,-31728.5,-369947.0,2791.8958333333335
1,10:00,13:00,vix+gap only,35,71.42857142857143,33777.0,-9388.0,-255851.0,2769.7857142857147
2,10:00,15:25,no filters,51,68.62745098039215,34096.0,-47048.0,-431223.0,2683.0588235294117
1,09:30,12:00,no filters,52,69.23076923076923,33537.5,-20838.0,-200000.0,2667.980769230769
3,10:00,15:25,vix+gap only,31,61.29032258064516,38085.0,-38191.5,-689415.0,2640.6935483870966
2,10:00,15:25,vix+gap only,39,66.66666666666666,34096.0,-47048.0,-431223.0,2606.3999999999996
3,09:30,15:25,vix+gap only,31,64.51612903225806,35213.0,-30851.0,-702660.0,2594.3870967741937
2,10:00,15:25,all filters,23,65.21739130434783,34096.0,-66516.0,-431223.0,2549.7391304347825
2,09:30,15:25,no filters,51,58.82352941176471,38085.0,-51995.0,-410798.0,2534.4117647058824
1,10:00,13:00,gap+intraday only,44,68.18181818181817,31941.5,-22114.25,-280426.0,2518.738636363636
3,09:30,15:25,all filters,24,62.5,34973.5,-43696.75,-702660.0,2498.34375
1,10:00,13:00,no filters,52,67.3076923076923,31941.5,-22114.25,-280426.0,2486.4471153846157
3,10:00,15:25,gap+intraday only,34,58.82352941176471,36968.0,-39946.75,-689415.0,2468.705882352941
3,10:00,15:25,all filters,21,57.14285714285714,38085.0,-44734.0,-689415.0,2462.0
1,09:30,12:00,gap+intraday only,44,70.45454545454545,28830.0,-15851.25,-200000.0,2383.4772727272725
2,09:30,15:25,all filters,24,58.333333333333336,34494.5,-58218.25,-410798.0,2303.8458333333333
4,10:30,15:25,no filters,42,61.904761904761905,31862.0,-28896.5,-267979.0,2281.9333333333334
3,10:30,15:25,no filters,48,62.5,29707.5,-40026.5,-534149.0,2169.21875
1,09:30,12:00,all filters,31,70.96774193548387,24840.0,-17287.5,-158191.0,2117.677419354839
1,09:30,12:00,vix+gap only,35,68.57142857142857,24840.0,-17287.5,-200000.0,2046.1714285714284
3,09:30,15:25,gap+intraday only,34,61.76470588235294,28111.5,-32367.0,-702660.0,2045.1220588235294
2,10:00,13:00,vix+gap only,39,69.23076923076923,23723.0,-7154.5,-390372.0,1988.5153846153846
2,10:00,13:00,no filters,51,68.62745098039215,23723.0,-13777.0,-390372.0,1971.1862745098038
1,09:30,15:25,all filters,31,64.51612903225806,25319.0,-52154.0,-589043.0,1956.0645161290322
2,10:30,13:00,vix+gap only,39,66.66666666666666,24043.0,-3643.5,-393245.0,1936.1999999999998
2,10:30,13:00,no filters,51,66.66666666666666,24043.0,-6117.0,-393245.0,1936.1999999999998
2,09:30,12:00,vix+gap only,39,69.23076923076923,22926.0,-11622.5,-250426.0,1933.3384615384616
2,10:00,12:00,no filters,51,70.58823529411765,22287.0,-13058.5,-275479.0,1926.1411764705883
2,09:30,12:00,no filters,51,68.62745098039215,22926.0,-13697.0,-250426.0,1916.4901960784314
2,10:30,13:00,gap+intraday only,47,65.95744680851064,24043.0,-6117.0,-393245.0,1915.6021276595743
1,10:30,13:00,no filters,52,61.53846153846154,26117.0,-20199.25,-287287.0,1914.8923076923077
1,10:30,13:00,gap+intraday only,44,61.36363636363637,26117.0,-20199.25,-287287.0,1909.4522727272729
1,10:30,13:00,vix+gap only,35,62.857142857142854,25319.0,-18803.0,-287287.0,1905.765714285714
2,09:30,12:00,gap+intraday only,47,68.08510638297872,22926.0,-13697.0,-250426.0,1901.3446808510637
4,10:30,13:00,no filters,42,66.66666666666666,23404.5,-27021.0,-286968.0,1893.633333333333
1,10:30,13:00,all filters,28,64.28571428571429,24122.5,-14215.25,-133777.0,1872.1607142857144
2,10:00,13:00,gap+intraday only,47,68.08510638297872,22128.0,-13777.0,-390372.0,1847.0127659574468
3,10:00,15:25,no filters,48,54.166666666666664,28271.5,-80758.25,-689415.0,1802.20625
2,10:00,12:00,all filters,23,69.56521739130434,19894.0,-19840.5,-275479.0,1731.7565217391304
2,10:00,12:00,gap+intraday only,47,68.08510638297872,19734.0,-17287.5,-275479.0,1684.0170212765959
4,10:30,13:00,all filters,19,68.42105263157895,19415.0,-12580.0,-221064.0,1670.5
4,10:30,12:00,no filters,42,69.04761904761905,18138.5,-39348.75,-211649.0,1597.6583333333335
1,10:00,12:00,no filters,52,57.692307692307686,22287.5,-33364.75,-165532.0,1574.278846153846
2,10:30,15:25,vix+gap only,39,64.1025641025641,19255.0,-44335.0,-434096.0,1554.8076923076922
3,09:30,13:00,all filters,24,62.5,19415.0,-41662.0,-299096.0,1525.9375
2,10:00,13:00,all filters,23,60.86956521739131,19734.0,-13777.0,-390372.0,1505.5478260869568
4,10:30,15:25,gap+intraday only,31,54.83870967741935,21649.0,-52712.5,-267979.0,1461.3967741935483
1,10:00,12:00,gap+intraday only,44,56.81818181818182,20691.5,-33364.75,-165532.0,1459.744318181818
2,10:00,12:00,vix+gap only,39,66.66666666666666,16223.0,-17287.5,-275479.0,1414.8666666666666
1,10:30,12:00,no filters,52,55.769230769230774,20292.5,-29534.25,-196968.0,1410.5432692307693
1,10:00,12:00,vix+gap only,35,57.14285714285714,19574.0,-33803.5,-165532.0,1404.2285714285713
1,09:30,11:00,vix+gap only,35,65.71428571428571,15904.0,-16808.5,-147500.0,1373.6914285714283
3,10:00,13:00,all filters,21,52.38095238095239,20851.0,-38511.0,-356702.0,1354.1000000000001
4,10:30,15:25,all filters,19,52.63157894736842,20532.0,-52712.5,-267979.0,1343.7894736842104
1,09:30,11:00,gap+intraday only,44,63.63636363636363,16063.5,-24508.25,-147500.0,1340.4045454545453
1,09:30,11:00,no filters,52,63.46153846153846,16063.5,-33444.5,-147500.0,1336.7221153846153
3,10:30,13:00,vix+gap only,31,64.51612903225806,15585.0,-10904.5,-264309.0,1328.0645161290322
3,10:30,13:00,no filters,48,62.5,16223.5,-19640.75,-334362.0,1326.46875
4,10:30,13:00,vix+gap only,26,61.53846153846154,15904.5,-36396.25,-286968.0,1286.4307692307693
4,10:00,13:00,no filters,42,57.14285714285714,17340.5,-61409.75,-472553.0,1276.6
3,09:30,13:00,vix+gap only,31,61.29032258064516,15585.0,-26941.5,-299096.0,1261.6612903225805
3,10:00,13:00,vix+gap only,31,51.61290322580645,19415.0,-35000.0,-356702.0,1260.1290322580644
2,09:30,11:00,vix+gap only,39,64.1025641025641,14628.0,-27659.5,-223138.0,1258.2051282051282
2,09:30,11:00,gap+intraday only,47,63.829787234042556,14628.0,-15611.5,-223138.0,1252.8510638297873
3,10:30,12:00,all filters,22,77.27272727272727,10957.5,1103.75,-200479.0,1233.0795454545455
3,10:00,13:00,no filters,48,52.083333333333336,18377.5,-39308.75,-356702.0,1217.578125
3,09:30,12:00,all filters,24,66.66666666666666,13191.5,-37154.0,-221543.0,1212.7666666666664
2,10:30,12:00,no filters,51,62.745098039215684,14149.0,-15851.0,-237500.0,1201.5058823529412
4,10:30,12:00,all filters,19,73.68421052631578,11277.0,425.5,-211649.0,1199.3578947368421
1,10:00,12:00,all filters,30,56.666666666666664,15265.5,-31808.75,-163936.0,1148.3783333333333
3,10:30,13:00,all filters,22,68.18181818181817,11276.5,-6556.0,-264309.0,1109.7613636363635
4,10:30,13:00,gap+intraday only,31,58.06451612903226,13830.0,-45213.0,-286968.0,1093.3548387096776
3,10:30,12:00,vix+gap only,31,70.96774193548387,10000.0,-24149.0,-200479.0,1064.5161290322583
2,09:30,11:00,no filters,51,60.78431372549019,12394.0,-27659.5,-223138.0,1057.2823529411764
3,10:30,13:00,gap+intraday only,34,61.76470588235294,11276.5,-13178.5,-264309.0,1005.3132352941177
3,10:00,12:00,vix+gap only,31,58.06451612903226,12234.0,-45372.0,-288883.0,1000.6838709677421
4,10:30,12:00,vix+gap only,26,65.38461538461539,9920.5,-69587.5,-211649.0,975.5711538461538
3,09:30,13:00,gap+intraday only,34,55.88235294117647,12234.5,-58178.0,-299096.0,963.1044117647059
3,10:30,12:00,gap+intraday only,34,67.64705882352942,8803.0,-24308.5,-200479.0,933.7323529411766
2,10:00,11:00,all filters,23,56.52173913043478,11436.0,-41702.5,-254574.0,928.991304347826
2,10:30,13:00,all filters,22,59.09090909090909,10159.5,-13976.0,-393245.0,895.7886363636363
1,09:30,11:00,all filters,31,64.51612903225806,8883.0,-16808.5,-147500.0,895.6774193548387
2,10:30,12:00,gap+intraday only,47,59.57446808510638,10000.0,-21117.0,-237500.0,893.6170212765958
3,10:00,12:00,no filters,48,56.25,10399.0,-52473.0,-288883.0,866.19375
3,10:00,12:00,gap+intraday only,34,55.88235294117647,10399.0,-57739.0,-288883.0,860.5323529411766
2,10:00,11:00,no filters,51,58.82352941176471,9521.0,-15452.0,-254574.0,854.1764705882352
3,10:30,12:00,no filters,48,64.58333333333334,8005.0,-25026.5,-200479.0,839.9062500000001
4,10:30,12:00,gap+intraday only,31,61.29032258064516,8564.0,-80718.0,-211649.0,831.3419354838709
2,10:00,11:00,gap+intraday only,47,57.446808510638306,9362.0,-16968.0,-254574.0,825.0510638297873
4,09:30,13:00,no filters,42,52.38095238095239,10638.5,-86662.0,-432021.0,819.1595238095239
3,10:00,12:00,all filters,21,57.14285714285714,8564.0,-40904.0,-288883.0,775.0857142857142
3,09:30,13:00,no filters,48,54.166666666666664,9043.0,-79959.75,-473511.0,760.6625
3,10:00,11:00,all filters,21,61.904761904761905,7128.0,-44255.0,-117819.0,750.7809523809524
3,10:00,11:00,vix+gap only,31,61.29032258064516,7128.0,-25904.5,-117819.0,743.3290322580644
3,10:00,11:00,no filters,48,60.416666666666664,7287.5,-32088.0,-183723.0,742.3697916666666
3,09:30,12:00,vix+gap only,31,61.29032258064516,6649.0,-28776.5,-221543.0,713.9709677419355
4,10:30,15:25,vix+gap only,26,50.0,9202.0,-56862.0,-267979.0,710.1
3,09:30,11:00,vix+gap only,31,54.83870967741935,7447.0,-38829.5,-107287.0,682.5774193548386
1,10:30,12:00,gap+intraday only,44,52.27272727272727,7686.5,-30771.0,-196968.0,663.1579545454546
3,09:30,15:25,no filters,48,52.083333333333336,7367.0,-89535.0,-714628.0,644.1145833333334
3,10:00,11:00,gap+intraday only,34,58.82352941176471,5931.0,-34242.0,-165851.0,643.0
2,09:30,12:00,all filters,24,58.333333333333336,4814.0,-15971.0,-250426.0,572.4833333333333
4,10:00,15:25,no filters,42,50.0,6330.0,-88936.0,-345532.0,566.5
3,09:30,12:00,no filters,48,56.25,4973.5,-60611.25,-853457.0,561.009375
2,10:00,11:00,vix+gap only,39,53.84615384615385,5372.0,-21915.0,-254574.0,558.4923076923077
2,09:30,11:00,all filters,24,54.166666666666664,4494.5,-47407.25,-223138.0,514.2854166666666
2,10:30,12:00,vix+gap only,39,56.41025641025641,3777.0,-21117.0,-237500.0,495.1128205128205
4,10:00,13:00,all filters,21,52.38095238095239,4415.0,-55904.0,-307553.0,493.16666666666674
4,10:00,12:00,no filters,42,50.0,4574.5,-64999.75,-323191.0,478.725
3,09:30,12:00,gap+intraday only,34,55.88235294117647,2819.0,-34082.25,-221543.0,436.9441176470589
4,09:30,12:00,no filters,42,54.761904761904766,2978.5,-88537.5,-417819.0,436.91785714285714
2,10:30,11:00,no filters,51,54.90196078431373,2819.0,-13377.5,-83830.0,429.27843137254905
4,10:30,11:00,all filters,19,57.89473684210527,2181.0,-16729.0,-150053.0,415.7421052631579
3,09:30,11:00,no filters,48,50.0,1941.5,-57260.5,-658298.0,347.075
4,10:30,11:00,vix+gap only,26,53.84615384615385,1383.0,-18045.5,-159628.0,343.7
1,10:30,11:00,gap+intraday only,44,52.27272727272727,1542.5,-16369.5,-93883.0,341.9943181818182
1,10:30,11:00,no filters,52,51.92307692307693,1463.0,-20558.25,-93883.0,335.5788461538462
4,10:30,11:00,no filters,42,54.761904761904766,1064.0,-17367.25,-159628.0,332.0761904761905
1,10:30,11:00,vix+gap only,35,51.42857142857142,1064.0,-17367.0,-93883.0,311.8628571428571
2,10:30,11:00,all filters,22,54.54545454545454,346.0,-24388.5,-83830.0,291.59999999999997
2,10:30,11:00,gap+intraday only,47,53.191489361702125,426.0,-13377.5,-83830.0,288.6170212765957
1,10:00,11:00,no filters,52,50.0,266.0,-25146.0,-173670.0,263.3
1,10:30,11:00,all filters,28,50.0,-53.0,-19481.5,-71383.0,247.35
2,10:30,12:00,all filters,22,50.0,-133.0,-24388.5,-237500.0,243.35
2,10:30,11:00,vix+gap only,39,48.717948717948715,-372.0,-14494.5,-83830.0,225.46666666666667
4,10:30,11:00,gap+intraday only,31,48.38709677419355,-372.0,-26542.5,-159628.0,223.93548387096774
3,10:30,11:00,gap+intraday only,34,50.0,-611.5,-12300.5,-63883.0,219.425
4,09:30,12:00,all filters,22,45.45454545454545,-851.0,-47765.75,-417819.0,188.5909090909091
1,10:00,11:00,vix+gap only,35,45.714285714285715,-1011.0,-16888.5,-116383.0,182.3542857142857
