n,win_pct,median_rs_cr,p25,p75,mean_rs_cr,worst,best,pct_in_5to7K,pct_above_5K,pct_above_4K,dte,filter_set
624.0,61.2,21888.0,-30651.0,63537.0,8628.0,-589043.0,469734.0,1.3,58.2,58.7,1,no filters
356.0,60.4,13830.0,-25744.0,51689.0,2623.0,-589043.0,158723.0,1.1,55.9,56.7,1,all filters
508.0,59.3,16223.0,-35319.0,59149.0,3491.0,-589043.0,211383.0,1.4,55.9,56.5,1,mp_pain_only
468.0,59.8,15266.0,-33444.0,55519.0,766.0,-589043.0,379415.0,1.1,55.8,56.4,1,vix_only
528.0,60.2,18856.0,-28656.0,59828.0,4668.0,-589043.0,469734.0,1.3,57.0,57.6,1,gap_only
612.0,61.3,21729.0,-30651.0,63537.0,8215.0,-589043.0,469734.0,1.3,58.2,58.7,1,intraday_only
612.0,64.5,19574.0,-23072.0,53444.0,3280.0,-434096.0,403989.0,1.1,61.1,61.9,2,no filters
276.0,60.9,14468.0,-30213.0,51370.0,-7451.0,-434096.0,216649.0,0.7,57.6,58.0,2,all filters
340.0,60.3,14229.0,-32726.0,50612.0,-7913.0,-434096.0,403989.0,0.9,56.8,57.1,2,mp_pain_only
492.0,64.2,16462.0,-21875.0,51889.0,988.0,-434096.0,216649.0,1.2,61.0,61.8,2,vix_only
564.0,64.9,19574.0,-19521.0,52926.0,4827.0,-434096.0,403989.0,0.9,61.3,62.2,2,gap_only
612.0,64.5,19574.0,-23072.0,53444.0,3280.0,-434096.0,403989.0,1.1,61.1,61.9,2,intraday_only
576.0,56.1,8086.0,-41702.0,45904.0,-14444.0,-853457.0,246170.0,1.4,52.4,53.1,3,no filters
268.0,60.1,8804.0,-34242.0,45106.0,-10765.0,-702660.0,246170.0,1.5,54.5,55.2,3,all filters
352.0,57.4,7766.0,-38391.0,45785.0,-10333.0,-702660.0,246170.0,1.1,52.3,52.8,3,mp_pain_only
444.0,57.9,8804.0,-38191.0,44388.0,-13710.0,-714628.0,246170.0,1.6,53.6,54.5,3,vix_only
408.0,58.1,9043.0,-34082.0,43191.0,-6552.0,-702660.0,246170.0,1.5,53.7,54.7,3,gap_only
552.0,57.4,9043.0,-37832.0,45984.0,-6398.0,-702660.0,246170.0,1.4,53.6,54.3,3,intraday_only
504.0,55.0,8165.0,-63484.0,44827.0,-18143.0,-509096.0,200851.0,1.0,52.0,52.6,4,no filters
248.0,50.8,1462.0,-54708.0,29508.0,-26077.0,-509096.0,143404.0,0.8,47.6,48.4,4,all filters
328.0,52.1,2101.0,-54468.0,32939.0,-22419.0,-509096.0,164628.0,0.9,48.5,49.1,4,mp_pain_only
408.0,58.6,13750.0,-50478.0,49375.0,-12177.0,-509096.0,200851.0,1.0,56.1,56.9,4,vix_only
372.0,45.7,-8272.0,-88018.0,26436.0,-39335.0,-509096.0,161755.0,0.5,43.3,43.8,4,gap_only
492.0,55.7,9362.0,-58059.0,45226.0,-17605.0,-509096.0,200851.0,1.0,52.8,53.5,4,intraday_only
