date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2025-04-23,2025-04-24,1,Wednesday,09:30,11:00,24279.9,24300,24300,0.083,0.604,0.309,0.678,,78.65,101.25,179.9,34.65,174.15,208.8,-28.9,-2168.0,-2368.0,-100745.0,-92745.0,-93085.0
2025-04-23,2025-04-24,1,Wednesday,09:30,12:00,24279.9,24300,24300,0.083,0.604,0.309,0.678,,78.65,101.25,179.9,44.35,116.65,161.0,18.9,1418.0,1218.0,51809.0,59809.0,59468.0
2025-04-23,2025-04-24,1,Wednesday,09:30,13:00,24279.9,24300,24300,0.083,0.604,0.309,0.678,,78.65,101.25,179.9,49.1,94.75,143.85,36.05,2704.0,2504.0,106543.0,114543.0,114202.0
2025-04-23,2025-04-24,1,Wednesday,09:30,15:25,24279.9,24300,24300,0.083,0.604,0.309,0.678,,78.65,101.25,179.9,64.6,61.15,125.75,54.15,4061.0,3861.0,164309.0,172309.0,171968.0
2025-04-23,2025-04-24,1,Wednesday,10:00,11:00,24306.5,24300,24300,0.027,0.604,0.309,0.678,,83.4,73.65,157.05,34.65,174.15,208.8,-51.75,-3881.0,-4081.0,-173670.0,-165670.0,-166011.0
2025-04-23,2025-04-24,1,Wednesday,10:00,12:00,24306.5,24300,24300,0.027,0.604,0.309,0.678,,83.4,73.65,157.05,44.35,116.65,161.0,-3.95,-296.0,-496.0,-21117.0,-13117.0,-13457.0
2025-04-23,2025-04-24,1,Wednesday,10:00,13:00,24306.5,24300,24300,0.027,0.604,0.309,0.678,,83.4,73.65,157.05,49.1,94.75,143.85,13.2,990.0,790.0,33617.0,41617.0,41277.0
2025-04-23,2025-04-24,1,Wednesday,10:00,15:25,24306.5,24300,24300,0.027,0.604,0.309,0.678,,83.4,73.65,157.05,64.6,61.15,125.75,31.3,2348.0,2148.0,91383.0,99383.0,99043.0
2025-04-23,2025-04-24,1,Wednesday,10:30,11:00,24245.2,24250,24300,0.226,0.604,0.309,0.678,,81.1,85.55,166.65,46.35,136.1,182.45,-15.8,-1185.0,-1385.0,-58936.0,-50936.0,-51277.0
2025-04-23,2025-04-24,1,Wednesday,10:30,12:00,24245.2,24250,24300,0.226,0.604,0.309,0.678,,81.1,85.55,166.65,61.45,83.25,144.7,21.95,1646.0,1446.0,61543.0,69543.0,69202.0
