date,expiry,dte,weekday,entry_time,exit_time,spot_entry,atm_strike,mp_strike_proxy,mp_dist_pct,gap_pct,intraday_pct_to_1030,intraday_range_pct_to_1030,vix_proxy,ce_entry,pe_entry,entry_premium,ce_exit,pe_exit,exit_premium,pnl_per_share,pnl_per_lot_gross,pnl_per_lot_net,rs_per_cr,rs_per_cr_axis,rs_per_cr_monarch
2025-04-25,2025-04-30,3,Friday,09:30,12:00,24432.3,24450,24300,0.541,0.891,1.669,1.858,,118.95,240.9,359.85,31.05,593.55,624.6,-264.75,-19856.0,-20056.0,-853457.0,-845457.0,-845798.0
2025-05-12,2025-05-15,3,Monday,09:30,15:25,24660.0,24650,24000,2.676,1.594,1.289,1.716,13.84,108.8,180.0,288.8,411.55,98.5,510.05,-221.25,-16594.0,-16794.0,-714628.0,-706628.0,-706968.0
2026-02-19,2026-02-24,3,Thursday,09:30,15:25,25815.0,25800,25800,0.058,0.084,0.363,0.533,14.98,127.2,107.6,234.8,35.0,417.3,452.3,-217.5,-16312.0,-16512.0,-702660.0,-694660.0,-695000.0
2026-02-19,2026-02-24,3,Thursday,10:00,15:25,25781.1,25800,25800,0.073,0.084,0.363,0.533,14.98,112.35,126.6,238.95,35.0,417.3,452.3,-213.35,-16001.0,-16201.0,-689415.0,-681415.0,-681755.0
2025-04-25,2025-04-30,3,Friday,09:30,11:00,24432.3,24450,24300,0.541,0.891,1.669,1.858,,118.95,240.9,359.85,41.55,521.9,563.45,-203.6,-15270.0,-15470.0,-658298.0,-650298.0,-650638.0
2025-12-08,2025-12-09,1,Monday,09:30,15:25,26279.9,26300,26200,0.304,-0.038,0.3,0.387,10.12,21.25,159.6,180.85,4.5,358.25,362.75,-181.9,-13642.0,-13842.0,-589043.0,-581043.0,-581383.0
2026-02-19,2026-02-24,3,Thursday,10:30,15:25,25752.3,25750,25800,0.185,0.084,0.363,0.533,14.98,125.75,125.85,251.6,41.65,374.65,416.3,-164.7,-12352.0,-12552.0,-534149.0,-526149.0,-526489.0
2026-03-11,2026-03-17,4,Wednesday,09:30,15:25,24304.9,24300,24300,0.02,-0.273,0.531,0.756,16.85,222.0,271.25,493.25,116.3,533.8,650.1,-156.85,-11764.0,-11964.0,-509096.0,-501096.0,-501436.0
2025-04-25,2025-04-30,3,Friday,09:30,15:25,24432.3,24450,24300,0.541,0.891,1.669,1.858,,118.95,240.9,359.85,36.7,470.55,507.25,-147.4,-11055.0,-11255.0,-478936.0,-470936.0,-471277.0
2025-04-25,2025-04-30,3,Friday,09:30,13:00,24432.3,24450,24300,0.541,0.891,1.669,1.858,,118.95,240.9,359.85,45.85,459.7,505.55,-145.7,-10928.0,-11128.0,-473511.0,-465511.0,-465851.0
2025-05-02,2025-05-08,4,Friday,10:00,13:00,24709.0,24700,24400,1.251,0.08,0.968,1.305,15.87,152.3,220.65,372.95,46.35,472.0,518.35,-145.4,-10905.0,-11105.0,-472553.0,-464553.0,-464894.0
2025-05-12,2025-05-15,3,Monday,09:30,13:00,24660.0,24650,24000,2.676,1.594,1.289,1.716,13.84,108.8,180.0,288.8,296.6,132.8,429.4,-140.6,-10545.0,-10745.0,-457234.0,-449234.0,-449574.0
2025-12-08,2025-12-09,1,Monday,10:30,15:25,26242.0,26250,26200,0.16,-0.038,0.3,0.387,10.12,21.7,152.35,174.05,5.5,308.75,314.25,-140.2,-10515.0,-10715.0,-455957.0,-447957.0,-448298.0
2025-12-08,2025-12-09,1,Monday,10:00,15:25,26230.4,26250,26200,0.116,-0.038,0.3,0.387,10.12,21.75,159.1,180.85,5.5,308.75,314.25,-133.4,-10005.0,-10205.0,-434255.0,-426255.0,-426596.0
2026-01-09,2026-01-13,2,Friday,10:30,15:25,25990.0,26000,26000,0.038,0.004,0.124,0.366,9.01,53.95,135.85,189.8,22.9,300.25,323.15,-133.35,-10001.0,-10201.0,-434096.0,-426096.0,-426436.0
2026-03-11,2026-03-17,4,Wednesday,09:30,13:00,24304.9,24300,24300,0.02,-0.273,0.531,0.756,16.85,222.0,271.25,493.25,164.25,461.7,625.95,-132.7,-9953.0,-10153.0,-432021.0,-424021.0,-424362.0
2026-01-09,2026-01-13,2,Friday,10:00,15:25,26008.1,26000,26000,0.031,0.004,0.124,0.366,9.01,59.95,130.75,190.7,22.9,300.25,323.15,-132.45,-9934.0,-10134.0,-431223.0,-423223.0,-423564.0
2026-03-11,2026-03-17,4,Wednesday,09:30,12:00,24304.9,24300,24300,0.02,-0.273,0.531,0.756,16.85,222.0,271.25,493.25,165.65,455.85,621.5,-128.25,-9619.0,-9819.0,-417819.0,-409819.0,-410160.0
2026-01-09,2026-01-13,2,Friday,09:30,15:25,25978.9,26000,26000,0.081,0.004,0.124,0.366,9.01,51.15,145.95,197.1,22.9,300.25,323.15,-126.05,-9454.0,-9654.0,-410798.0,-402798.0,-403138.0
2026-03-13,2026-03-17,2,Friday,09:30,15:25,23552.9,23550,23500,0.225,-0.923,0.255,0.761,17.91,197.65,260.4,458.05,95.15,486.6,581.75,-123.7,-9278.0,-9478.0,-403298.0,-395298.0,-395638.0
2026-01-08,2026-01-13,3,Thursday,10:00,15:25,26176.2,26200,26200,0.091,-0.183,0.164,0.302,8.33,47.25,150.3,197.55,15.45,305.6,321.05,-123.5,-9262.0,-9462.0,-402660.0,-394660.0,-395000.0
2025-05-02,2025-05-08,4,Friday,09:30,13:00,24640.0,24650,24400,0.974,0.08,0.968,1.305,15.87,141.6,221.15,362.75,55.65,430.05,485.7,-122.95,-9221.0,-9421.0,-400904.0,-392904.0,-393245.0
2026-01-09,2026-01-13,2,Friday,10:30,13:00,25990.0,26000,26000,0.038,0.004,0.124,0.366,9.01,53.95,135.85,189.8,16.35,294.0,310.35,-120.55,-9041.0,-9241.0,-393245.0,-385245.0,-385585.0
2026-01-09,2026-01-13,2,Friday,10:00,13:00,26008.1,26000,26000,0.031,0.004,0.124,0.366,9.01,59.95,130.75,190.7,16.35,294.0,310.35,-119.65,-8974.0,-9174.0,-390372.0,-382372.0,-382713.0
2026-01-05,2026-01-06,1,Monday,10:30,15:25,26485.2,26500,26300,0.699,0.082,0.049,0.451,9.27,13.4,154.55,167.95,2.85,283.5,286.35,-118.4,-8880.0,-9080.0,-386383.0,-378383.0,-378723.0
2025-06-06,2025-06-12,4,Friday,09:30,12:00,24815.8,24800,24700,0.467,-0.077,0.258,0.713,18.86,142.25,203.5,345.75,363.0,99.3,462.3,-116.55,-8741.0,-8941.0,-380479.0,-372479.0,-372819.0
2026-01-09,2026-01-13,2,Friday,09:30,13:00,25978.9,26000,26000,0.081,0.004,0.124,0.366,9.01,51.15,145.95,197.1,16.35,294.0,310.35,-113.25,-8494.0,-8694.0,-369947.0,-361947.0,-362287.0
2026-01-08,2026-01-13,3,Thursday,10:00,13:00,26176.2,26200,26200,0.091,-0.183,0.164,0.302,8.33,47.25,150.3,197.55,28.2,278.45,306.65,-109.1,-8182.0,-8382.0,-356702.0,-348702.0,-349043.0
2026-03-11,2026-03-17,4,Wednesday,10:00,15:25,24231.5,24250,24300,0.283,-0.273,0.531,0.756,16.85,222.5,299.35,521.85,131.35,496.1,627.45,-105.6,-7920.0,-8120.0,-345532.0,-337532.0,-337872.0
2026-02-25,2026-03-02,3,Wednesday,10:30,13:00,25802.3,25800,25500,1.172,0.911,0.564,0.635,15.45,84.15,205.45,289.6,40.75,350.95,391.7,-102.1,-7657.0,-7857.0,-334362.0,-326362.0,-326702.0
2026-01-23,2026-01-27,2,Friday,10:30,15:25,25329.0,25350,25300,0.114,0.019,0.236,0.44,10.11,101.1,117.4,218.5,29.3,291.25,320.55,-102.05,-7654.0,-7854.0,-334202.0,-326202.0,-326543.0
2026-01-21,2026-01-27,4,Wednesday,09:30,11:00,25293.7,25300,26000,2.792,-0.125,0.367,0.768,9.53,148.5,153.9,302.4,67.85,336.05,403.9,-101.5,-7612.0,-7812.0,-332447.0,-324447.0,-324787.0
2025-06-06,2025-06-12,4,Friday,10:00,12:00,24792.5,24800,24700,0.373,-0.077,0.258,0.713,18.86,142.65,221.05,363.7,363.0,99.3,462.3,-98.6,-7395.0,-7595.0,-323191.0,-315191.0,-315532.0
2025-05-12,2025-05-15,3,Monday,10:00,15:25,24805.1,24800,24000,3.246,1.594,1.289,1.716,13.84,131.5,209.9,341.4,302.0,137.2,439.2,-97.8,-7335.0,-7535.0,-320638.0,-312638.0,-312979.0
2025-09-05,2025-09-09,2,Friday,10:00,13:00,24893.0,24900,24800,0.374,0.078,0.187,0.831,10.12,45.0,132.2,177.2,20.0,254.0,274.0,-96.8,-7260.0,-7460.0,-317447.0,-309447.0,-309787.0
2026-02-27,2026-03-02,1,Friday,09:30,15:25,25508.5,25500,25500,0.033,-0.261,0.415,0.634,15.58,60.4,181.0,241.4,24.5,312.4,336.9,-95.5,-7162.0,-7362.0,-313298.0,-305298.0,-305638.0
2026-01-08,2026-01-13,3,Thursday,09:30,15:25,26160.8,26150,26200,0.15,-0.183,0.164,0.302,8.33,61.6,127.2,188.8,21.7,261.3,283.0,-94.2,-7065.0,-7265.0,-309149.0,-301149.0,-301489.0
2026-03-11,2026-03-17,4,Wednesday,10:00,13:00,24231.5,24250,24300,0.283,-0.273,0.531,0.756,16.85,222.5,299.35,521.85,184.05,431.5,615.55,-93.7,-7027.0,-7227.0,-307553.0,-299553.0,-299894.0
2025-05-12,2025-05-15,3,Monday,10:30,15:25,24800.0,24800,24000,3.226,1.594,1.289,1.716,13.84,130.45,216.2,346.65,302.0,137.2,439.2,-92.55,-6941.0,-7141.0,-303883.0,-295883.0,-296223.0
2026-02-25,2026-03-02,3,Wednesday,10:30,15:25,25802.3,25800,25500,1.172,0.911,0.564,0.635,15.45,84.15,205.45,289.6,44.3,337.8,382.1,-92.5,-6938.0,-7138.0,-303723.0,-295723.0,-296064.0
2026-02-19,2026-02-24,3,Thursday,09:30,13:00,25815.0,25800,25800,0.058,0.084,0.363,0.533,14.98,127.2,107.6,234.8,68.7,257.15,325.85,-91.05,-6829.0,-7029.0,-299096.0,-291096.0,-291436.0
2026-03-11,2026-03-17,4,Wednesday,10:00,12:00,24231.5,24250,24300,0.283,-0.273,0.531,0.756,16.85,222.5,299.35,521.85,186.1,425.7,611.8,-89.95,-6746.0,-6946.0,-295585.0,-287585.0,-287926.0
2025-10-31,2025-11-04,2,Friday,10:00,15:25,26086.8,26100,26000,0.333,-0.097,0.058,0.574,13.39,56.45,183.15,239.6,23.85,305.05,328.9,-89.3,-6698.0,-6898.0,-293511.0,-285511.0,-285851.0
2025-09-05,2025-09-09,2,Friday,09:30,13:00,24892.4,24900,24800,0.371,0.078,0.187,0.831,10.12,49.3,135.75,185.05,20.0,254.0,274.0,-88.95,-6671.0,-6871.0,-292394.0,-284394.0,-284734.0
2026-03-13,2026-03-17,2,Friday,09:30,13:00,23552.9,23550,23500,0.225,-0.923,0.255,0.761,17.91,197.65,260.4,458.05,118.95,427.55,546.5,-88.45,-6634.0,-6834.0,-290798.0,-282798.0,-283138.0
2025-12-01,2025-12-02,1,Monday,09:30,13:00,26466.0,26450,26300,0.627,0.224,0.005,0.242,10.33,23.65,160.25,183.9,7.1,265.1,272.2,-88.3,-6623.0,-6823.0,-290319.0,-282319.0,-282660.0
2025-05-02,2025-05-08,4,Friday,10:00,15:25,24709.0,24700,24400,1.251,0.08,0.968,1.305,15.87,152.3,220.65,372.95,35.65,425.4,461.05,-88.1,-6607.0,-6807.0,-289681.0,-281681.0,-282021.0
2025-05-12,2025-05-15,3,Monday,09:30,12:00,24660.0,24650,24000,2.676,1.594,1.289,1.716,13.84,108.8,180.0,288.8,224.25,152.5,376.75,-87.95,-6596.0,-6796.0,-289202.0,-281202.0,-281543.0
